# YYYYMMDD	YYYY.DECM	N_filt(mm)	E_filt(mm)	U_filt(mm)	Azimuth(deg)
20130101	2013.0014	7.94358364	0	-2.460695064	0
20130102	2013.0041	8.872495445	-1.333077344	-0.8400333665	351.4553215
20130103	2013.0068	9.619376892	-2.031402098	0.2341720104	348.075585
20130104	2013.0096	8.536151996	-1.364623973	-0.449837586	350.9173172
20130105	2013.0123	1.404084369	-1.625840101	-1.190585195	310.8140693
20130106	2013.0151	1.473371005	-1.064095229	-1.632753951	324.1625017
20130107	2013.0178	1.492365078	-0.8507693303	-3.235372583	330.3133468
20130108	2013.0205	1.458349626	-0.5480630402	-5.337990052	339.4032548
20130109	2013.0233	1.377353527	-0.4428541082	-4.185417075	342.1760842
20130110	2013.0260	1.25675656	-0.3631963335	-4.453691466	343.8809717
20130111	2013.0288	1.273147744	-0.3364962403	-5.006082049	345.1951163
20130112	2013.0315	0.8127061805	-0.3387582806	-5.110393568	337.3722839
20130113	2013.0342	0.7957693192	-0.512581169	-5.260231103	327.2130843
20130114	2013.0370	0.5552153614	-0.2823346721	-5.300363705	333.0460355
20130115	2013.0397	0.3648666034	-0.4428772729	-5.238908241	309.48357
20130116	2013.0425	0.1846226531	-0.2580858849	-5.083996538	305.5781699
20130117	2013.0452	-0.9214653862	-0.5381264264	-6.194800017	210.2844944
20130118	2013.0479	-0.1270440046	0.6921958201	-6.237479864	100.4001841
20130119	2013.0507	-0.2545549726	-2.257239864	-6.072551496	263.565786
20130120	2013.0534	-0.3518899298	-0.66432956	-5.708900438	242.0901975
20130121	2013.0562	-0.4330419731	-0.6091803573	-5.151813533	234.5924999
20130122	2013.0589	0.3812276612	-0.5254341795	-4.306050777	305.9626829
20130123	2013.0616	-0.5373776893	-0.4115338566	-2.094599338	217.4455659
20130124	2013.0644	-0.6284949024	-0.2720880651	-2.37433665	203.4087555
20130125	2013.0671	-0.5896588142	-0.1117535445	-2.582647902	190.7315529
20130126	2013.0699	-0.5971029965	-0.1204596723	-0.5986265379	191.4057711
20130127	2013.0726	-0.5466547876	0.2507246615	0.6973585424	155.3613181
20130128	2013.0753	0.2807759599	0.5697128486	1.784681418	63.7641849
20130129	2013.0781	-0.4496459954	0.5972060251	2.582517458	126.9766772
20130130	2013.0808	-0.3265892126	0.8127373605	3.18461236	111.8921638
20130131	2013.0836	-0.2514013179	0.9817796482	1.573868875	104.3629364
20130201	2013.0863	0.4962623605	1.380109914	1.799465965	70.22234021
20130202	2013.0890	-0.1358387252	1.202629171	2.236807314	96.44432913
20130203	2013.0918	-0.1049866644	1.422128789	1.952641452	94.22212164
20130204	2013.0945	-0.09311887117	1.391785308	2.568974793	93.82773015
20130205	2013.0973	-0.09923452425	1.402298551	2.069452205	94.04782341
20130206	2013.1000	-0.1223324598	1.376672288	2.191381232	95.07802179
20130207	2013.1027	-0.1614107468	1.31640584	4.225092884	96.99041374
20130208	2013.1055	-0.2154674747	1.246932649	4.087119544	99.8037839
20130209	2013.1082	-0.3114723095	1.058008168	0.3834285704	106.4041649
20130210	2013.1110	-0.3526747101	0.9446923671	2.359542029	110.4717238
20130211	2013.1137	0.043071672	0.5851219884	2.604175262	85.78996844
20130212	2013.1164	-0.01716064516	0.6294036261	2.589957909	91.56177844
20130213	2013.1192	0.0937008891	0.4456552094	2.714664762	78.126271
20130214	2013.1219	-0.2448802405	0.3185702468	0.8394532846	127.5489492
20130215	2013.1247	-0.3346227909	0.238197448	4.097749576	144.5552677
20130216	2013.1274	-0.5932811543	0.2209370367	4.650040831	159.5747426
20130217	2013.1301	-1.862059496	0.2804741068	5.216177403	171.4341738
20130218	2013.1329	-1.113352774	0.4177906608	4.928248896	159.4311708
20130219	2013.1356	-1.270038095	0.6281155236	4.999261194	153.6846435
20130220	2013.1384	-1.17397425	0.9048542344	5.903020596	142.3763457
20130221	2013.1411	-1.084942137	1.237147562	2.780597614	131.2498127
20130222	2013.1438	-0.9681032488	1.648745731	3.746516011	120.4204159
20130223	2013.1466	-0.8375731595	0.2584879719	3.309589807	162.8489687
20130224	2013.1493	-0.7513406178	2.328090169	4.081135025	107.8863597
20130225	2013.1521	-0.6185557078	2.755422085	1.145331631	102.6523895
20130226	2013.1548	-0.7763735418	3.077615099	0.5819668728	104.1583013
20130227	2013.1575	-1.078519838	3.337444671	1.563426494	107.908621
20130228	2013.1603	-0.5286167612	3.515668347	1.68980201	98.55095098
20130301	2013.1630	-0.2592172692	3.593047045	-0.4698287828	94.12640533
20130302	2013.1658	0.4549140636	3.550341679	-0.9698333407	82.69833596
20130303	2013.1685	-0.7789850098	2.703891277	-1.456312671	106.0715724
20130304	2013.1712	-0.02981118044	2.573199616	0.1638500942	90.66375667
20130305	2013.1740	0.1126539191	2.616385209	-1.216112412	87.53453361
20130306	2013.1767	0.5913696262	2.193402096	-1.115538612	74.91109601
20130307	2013.1795	0.216322998	1.956993057	0.6735386098	83.69222067
20130308	2013.1822	0.005803957683	1.698041711	0.217008047	89.80416206
20130309	2013.1849	0.4880014691	1.279456052	1.017542535	69.12248699
20130310	2013.1877	1.369317984	1.176588056	1.477014877	40.67085773
20130311	2013.1904	-0.2346267521	1.777419783	2.261789503	97.5198029
20130312	2013.1932	-1.722319879	0.4857590439	2.328835417	164.2495501
20130313	2013.1959	-0.322542659	-0.3314631605	3.673881391	225.7814539
20130314	2013.1986	-0.7253340185	-0.5720724003	4.238785124	218.2629156
20130315	2013.2014	-0.6559623219	-0.4251825255	4.672052345	212.9505536
20130316	2013.2041	-0.8797246784	-0.2009475475	3.765737445	192.8668076
20130317	2013.2068	-0.9554624188	-0.2058418195	5.604806837	192.1578021
20130318	2013.2096	-2.65288502	1.267516993	4.872468581	154.4620823
20130319	2013.2123	-1.233083892	0.1961801089	2.444902128	170.9601695
20130320	2013.2151	0.2101618244	1.292093707	1.449963665	80.76162047
20130321	2013.2178	-1.303785021	0.222442119	4.61695979	170.317846
20130322	2013.2205	-1.283798632	-0.5635847581	4.503032125	203.701368
20130323	2013.2233	-1.224771695	-0.624349819	4.236819666	207.0110466
20130324	2013.2260	-1.12794303	-0.7057995225	3.80521077	212.0358786
20130325	2013.2288	-0.9985614616	-0.06255219015	3.22020217	183.584456
