# YYYYMMDD	YYYY.DECM	N_filt(mm)	E_filt(mm)	U_filt(mm)	Azimuth(deg)
20120401	2012.2500	0.1872678995	-0.2526147537	-0.3884038783	306.550211
20120402	2012.2527	0.03477220155	-0.0516593419	-1.295365716	303.9447248
20120403	2012.2555	-0.1210615083	0.1299233247	-2.172190172	132.9778306
20120404	2012.2582	-0.278258986	0.2755895616	-2.989205494	135.2761505
20120405	2012.2609	-0.4339198746	0.3722085028	-3.720375308	139.3776134
20120406	2012.2637	-0.584128133	0.4113643821	-4.344700137	144.8453934
20120407	2012.2664	-0.7239137791	0.3902589471	-4.847031247	151.6710752
20120408	2012.2691	-0.8473229492	0.3121291447	-5.218363621	159.7776691
20120409	2012.2719	-0.947657214	0.1861178291	-5.455747251	168.8886549
20120410	2012.2746	-1.017922447	0.02656583494	-5.56196551	178.5050288
20120411	2012.2773	-1.051487867	-0.1482615296	-5.545100594	188.02589
20120412	2012.2801	-1.042903068	-0.3179402764	-5.41805616	196.9544095
20120413	2012.2828	-0.9887656146	-0.4620017804	-5.198044359	205.0443827
20120414	2012.2855	-0.8884928327	-0.5621827365	-4.905979548	212.3230716
20120415	2012.2883	-0.7448469091	-0.6045507739	-4.565675807	219.0643155
20120416	2012.2910	-0.5640975392	-0.5812335089	-4.202745975	225.8571718
20120417	2012.2937	-0.3557717963	-0.4915101345	-3.843156557	234.1016984
20120418	2012.2964	-0.132017748	-0.3420968681	-3.511485927	248.8980243
20120419	2012.2992	0.09332672104	-0.1465601511	-3.22902423	302.48821
20120420	2012.3019	0.3058362592	0.07609033445	-3.011911832	13.97121004
20120421	2012.3046	0.4916549763	0.3034581864	-2.869533508	31.68362181
20120422	2012.3074	0.6386225915	0.5121946803	-2.803380612	38.73067015
20120423	2012.3101	0.7373122245	0.6804799365	-2.80657187	42.70452401
20120424	2012.3128	0.7819265199	0.7902235065	-2.864174188	45.30237439
20120425	2012.3156	0.7709812941	0.8287261836	-2.954375201	47.06731706
20120426	2012.3183	0.7076855764	0.7896567591	-3.050441626	48.13349812
20120427	2012.3210	0.5999249334	0.6733172027	-3.123286407	48.29899488
20120428	2012.3238	0.4597828664	0.4862672763	-3.144389029	46.60356055
20120429	2012.3265	0.3025898891	0.240440291	-3.088769821	38.47092836
20120430	2012.3292	0.14555816	-0.04809295166	-2.937699845	341.7162548
20120501	2012.3320	0.006127749938	-0.3605552181	-2.680825968	270.9736662
20120502	2012.3347	-0.09979239657	-0.6769475616	-2.317416209	261.6141253
20120503	2012.3374	-0.1594746207	-0.97747039	-1.856511055	260.7338147
20120504	2012.3402	-0.1647083688	-1.243793688	-1.315918407	262.456543
20120505	2012.3429	-0.1126645679	-1.460121864	-0.7201900777	265.587739
20120506	2012.3456	-0.006202732441	-1.614024201	-0.09790961757	269.7798121
20120507	2012.3484	0.1463906524	-1.697012527	0.5212539893	274.930343
20120508	2012.3511	0.3321793609	-1.704848456	1.109249045	281.0255938
20120509	2012.3538	0.5347704975	-1.637565313	1.641704205	288.0851936
20120510	2012.3566	0.7357987402	-1.499201016	2.099118599	296.1415235
20120511	2012.3593	0.9165684589	-1.297257995	2.467146116	305.2428463
20120512	2012.3620	1.059717271	-1.041933713	2.73612824	315.4848086
20120513	2012.3648	1.150763977	-0.7451962813	2.900164984	327.0742557
20120514	2012.3675	1.179411299	-0.4198035127	2.956075534	340.4071554
20120515	2012.3702	1.140492365	-0.07836937358	2.902577787	356.0690776
20120516	2012.3730	1.034478177	0.2674336468	2.739914882	14.49477731
20120517	2012.3757	0.8675015799	0.6074765819	2.470015645	35.0020136
20120518	2012.3784	0.6508989531	0.9335496393	2.097143539	55.11462909
20120519	2012.3812	0.4003126152	1.239498178	1.628883351	72.10143943
20120520	2012.3839	0.1344253219	1.521113198	1.077225867	84.94972057
20120521	2012.3866	-0.1265818894	1.775785113	0.4594427167	94.07727343
20120522	2012.3893	-0.3627363504	2.001966235	-0.2015691663	100.2700046
20120523	2012.3921	-0.5560119002	2.198537011	-0.8777223588	104.1925665
20120524	2012.3948	-0.6919512809	2.36420594	-1.537057182	106.3135972
20120525	2012.3976	-0.7610201132	2.497073608	-2.145873198	106.9493755
20120526	2012.4003	-0.7595445485	2.594458913	-2.671444314	106.3177319
20120527	2012.4030	-0.6901049843	2.653034081	-3.084970944	104.5806108
20120528	2012.4058	-0.5612993035	2.669257315	-3.364362311	101.8753054
20120529	2012.4085	-0.3868523787	2.640036484	-3.496444993	98.33639232
20120530	2012.4112	-0.1841313243	2.563510495	-3.478262279	94.10837425
20120531	2012.4139	0.02778140628	2.439804605	-3.317256118	89.34761639
20120601	2012.4167	0.2302225132	2.271610391	-3.030288552	84.2129635
20120602	2012.4194	0.4070073754	2.064465389	-2.641629429	78.8472185
20120603	2012.4221	0.5461325722	1.826657516	-2.180182978	73.35443
20120604	2012.4249	0.6408877374	1.568743984	-1.676332764	67.77823801
20120605	2012.4276	0.6902316594	1.302737796	-1.158839988	62.0839432
20120606	2012.4303	0.6984031389	1.041061451	-0.6522136875	56.14404719
