# YYYYMMDD	YYYY.DECM	N_filt(mm)	E_filt(mm)	U_filt(mm)	Azimuth(deg)
20120401	2012.2500	-0.3590572957	0.1415853134	0.3807270226	158.4794364
20120402	2012.2527	-0.5989194039	0.4064153372	0.5158145348	145.8399294
20120403	2012.2555	-0.8238826124	0.6586614831	0.6339967272	141.3590501
20120404	2012.2582	-1.022070303	0.8878551109	0.7218885371	139.0197084
20120405	2012.2609	-1.183918026	1.08531768	0.7688745526	137.4879885
20120406	2012.2637	-1.302876903	1.244764959	0.7682121808	136.3066954
20120407	2012.2664	-1.375776469	1.362693674	0.71778156	135.2737234
20120408	2012.2691	-1.40284952	1.438529631	0.6204165499	134.2805563
20120409	2012.2719	-1.387458163	1.474537754	0.4837662039	133.2572462
20120410	2012.2746	-1.335577886	1.475515299	0.3196723998	132.1501443
20120411	2012.2773	-1.255105881	1.448308841	0.1431133782	130.9122344
20120412	2012.2801	-1.155066047	1.401208315	-0.02916853889	129.4999768
20120413	2012.2828	-1.044782756	1.343272985	-0.1801894899	127.8753791
20120414	2012.2855	-0.9330872531	1.283636299	-0.294213698	126.0137544
20120415	2012.2883	-0.8276108178	1.230826864	-0.3580422535	123.9169772
20120416	2012.2910	-0.7342137532	1.192140226	-0.3619886585	121.6280301
20120417	2012.2937	-0.6565960065	1.173101066	-0.3005136614	119.2361612
20120418	2012.2964	-0.596125538	1.177057808	-0.1725625865	116.8601126
20120419	2012.2992	-0.5519009775	1.204943446	0.01833775968	114.6092293
20120420	2012.3019	-0.5210396532	1.255221181	0.264206625	112.5432341
20120421	2012.3046	-0.4991562598	1.324019033	0.5529951108	110.656484
20120422	2012.3074	-0.4809753668	1.405446613	0.8692689815	108.8920974
20120423	2012.3101	-0.4610068066	1.492079105	1.195169868	107.1695493
20120424	2012.3128	-0.4342088076	1.57558602	1.511558037	105.4074396
20120425	2012.3156	-0.3965661209	1.647469752	1.799210416	103.5343124
