# YYYYMMDD	YYYY.DECM	N_filt(mm)	E_filt(mm)	U_filt(mm)	Azimuth(deg)
20130101	2013.0014	5.258388056	0	3.907526252	0
20130102	2013.0041	6.072527904	0.557392824	3.498401466	5.244441365
20130103	2013.0068	-1.615381169	-0.2401613495	3.129525005	188.4563159
20130104	2013.0096	-1.690829278	0.2005822212	2.804615675	173.2346486
20130105	2013.0123	-0.04425785144	0.2605157223	-0.3394983329	99.64167074
20130106	2013.0151	-0.2996528204	-0.01158059726	-1.843633316	182.2131923
20130107	2013.0178	-0.3957873496	0.5414730555	-1.751739267	126.1647724
20130108	2013.0205	-0.3214441708	0.5360155989	-1.452742084	120.9507714
20130109	2013.0233	0.2993013055	0.6113610756	0.1693639819	63.91522332
20130110	2013.0260	-0.6098881832	0.6216661421	-1.579749144	134.452069
20130111	2013.0288	-1.117652308	0.8338412978	-0.6408664854	143.2746679
20130112	2013.0315	-0.7728291367	0.7053391205	0.6846764068	137.6141878
20130113	2013.0342	-0.741022676	0.2522870632	-0.6743613996	161.1984502
20130114	2013.0370	-0.970604467	0.2773274768	1.572171114	164.0539538
20130115	2013.0397	-1.642929452	0.3246619475	1.879632067	168.8217087
20130116	2013.0425	-1.059444379	0.3804816589	2.071524072	160.2451014
20130117	2013.0452	-1.659522916	0.4296415915	1.896829655	165.4851219
20130118	2013.0479	-1.957712013	0.4608283169	1.95817841	166.7542058
20130119	2013.0507	-2.965963339	0.5172074933	1.884826791	170.1081733
20130120	2013.0534	-2.534330655	0.4812490639	1.671787379	169.2480065
20130121	2013.0562	-3.337253289	0.5731025375	1.326514541	170.255711
20130122	2013.0589	-3.090197988	0.4229392461	0.4181866817	172.206647
20130123	2013.0616	-3.388811115	0.5110535627	0.5207059368	171.424067
20130124	2013.0644	-2.715072511	0.248994287	-0.09308286564	174.7601667
20130125	2013.0671	-4.279988842	0.7659215009	-0.6604953351	169.8540825
20130126	2013.0699	-3.728449134	0.4131907625	-0.9981718566	173.6762236
20130127	2013.0726	-3.8752066	0.4356336819	-1.271578549	173.5859885
20130128	2013.0753	-4.254335164	0.4614724977	-1.419639365	173.809267
20130129	2013.0781	-3.759202276	0.04670169539	-4.057014171	179.288234
20130130	2013.0808	-3.957558986	0.5070042682	-1.135442279	172.6995831
20130131	2013.0836	-3.958075259	0.520054539	0.6879891711	172.5147411
20130201	2013.0863	-3.892841581	0.5292149223	-0.7832244388	172.2583463
20130202	2013.0890	-3.921701649	0.5337330162	0.351652363	172.2498157
20130203	2013.0918	-2.646804743	0.5313688871	-0.1611559783	168.6482793
20130204	2013.0945	-3.732236105	-0.05532580206	-0.605372948	180.8492771
20130205	2013.0973	-2.211366166	0.4970342263	0.385794603	167.3325189
20130206	2013.1000	-3.076649767	0.4740072217	-0.8047662525	171.2415313
20130207	2013.1027	-1.994948493	0.4082381349	2.077045986	168.4348938
20130208	2013.1055	-3.618863972	0.04255001725	0.7134177403	179.3263565
20130209	2013.1082	-2.339309875	0.3223480318	4.297029854	172.1542676
20130210	2013.1110	-2.875875496	0.258631941	2.787193004	174.8611258
20130211	2013.1137	-3.484456697	-0.04681408556	0.2894284771	180.7697292
20130212	2013.1164	-3.576982557	0.03939599456	2.204501539	179.3689841
20130213	2013.1192	-3.104231915	0.01641130775	1.933646714	179.6970942
20130214	2013.1219	-3.428771143	-0.5206339546	2.133885577	188.6339947
20130215	2013.1247	-3.742249596	0.1142541479	1.162625092	178.251253
20130216	2013.1274	-4.072198962	0.790385255	1.763308707	169.0158639
20130217	2013.1301	-3.975215045	-0.6562894595	0.5666048608	189.3747025
20130218	2013.1329	-3.741151989	0.590663782	-0.3559763293	171.0280372
20130219	2013.1356	-4.101982174	0.7622888939	-0.7172514775	169.47257
20130220	2013.1384	-4.067386663	1.989402954	-1.092835855	153.9362414
20130221	2013.1411	-3.004168827	0.9510593968	-1.373048649	162.4332608
20130222	2013.1438	-2.926249644	1.356532082	-1.536425509	155.128806
20130223	2013.1466	-2.82783336	1.36050233	-1.621722455	154.3072711
20130224	2013.1493	-2.7043385	1.403879013	-1.498388396	152.5652243
20130225	2013.1521	-2.55118359	1.373253168	-1.456615909	151.7072723
20130226	2013.1548	-2.363787157	2.109837162	-1.306769542	138.2489685
20130227	2013.1575	-2.068540661	1.090694513	-1.129087845	152.1983367
20130228	2013.1603	-1.871538463	0.03681037862	-0.9393183214	178.8732225
20130301	2013.1630	-1.526555989	0.5348260918	-0.7370910083	160.6921842
20130302	2013.1658	-1.258455557	0.1624974932	-0.5254297614	172.64242
20130303	2013.1685	-0.8596600154	-0.2668969097	-0.111827892	197.2478955
20130304	2013.1712	-0.6882279811	-0.8400190271	-0.2392324979	230.6722213
20130305	2013.1740	-0.2205489885	-1.035007278	0.11612386	257.9707983
20130306	2013.1767	0.1061007341	-1.401238109	0.3154871198	274.330132
20130307	2013.1795	0.3753070716	-1.417618793	0.4973255016	284.8285588
20130308	2013.1822	0.442870923	-1.822191073	0.5809691	283.6604786
20130309	2013.1849	0.7496093162	-1.786253225	0.7891435282	292.7655794
