# YYYYMMDD	YYYY.DECM	N_filt(mm)	E_filt(mm)	U_filt(mm)	Azimuth(deg)
20120401	2012.2500	-0.05030974492	0.1585514741	-0.2629623375	107.6046801
20120402	2012.2527	-0.2287003217	0.191841097	-0.2489331919	140.0090072
20120403	2012.2555	-0.4002676299	0.217919069	-0.2269366241	151.4346511
20120404	2012.2582	-0.5596287354	0.2330930972	-0.1924015234	157.3875979
20120405	2012.2609	-0.7023721466	0.2356441526	-0.1426629726	161.453522
20120406	2012.2637	-0.825304098	0.2263287178	-0.07734214404	164.6644128
20120407	2012.2664	-0.9265131065	0.2085295442	0.001480394327	167.3158439
20120408	2012.2691	-1.005287515	0.1880505626	0.08936814944	169.4046191
20120409	2012.2719	-1.061938391	0.1725960495	0.1799760622	170.768481
20120410	2012.2746	-1.097578515	0.1710009871	0.2658685534	171.1446002
20120411	2012.2773	-1.113899711	0.1922944102	0.3396583614	170.2054682
20120412	2012.2801	-1.112978293	0.2446853669	0.3953229099	167.6009223
20120413	2012.2828	-1.097119063	0.3345647558	0.4294801871	163.0409965
20120414	2012.2855	-1.068727236	0.4656176485	0.4423846072	156.458451
20120415	2012.2883	-1.03018662	0.6381391351	0.4384427186	148.2242561
20120416	2012.2910	-0.9837273551	0.8486388561	0.4261233228	139.216419
20120417	2012.2937	-0.9312816169	1.089800954	0.4172178387	130.5153078
20120418	2012.2964	-0.8743419866	1.350833234	0.4254905898	122.9134168
20120419	2012.2992	-0.8138504313	1.618192228	0.4648522977	116.6995628
20120420	2012.3019	-0.7501536726	1.876618624	0.5472826215	111.788412
20120421	2012.3046	-0.6830570629	2.110373722	0.6807902544	107.9350246
20120422	2012.3074	-0.6119902806	2.30454252	0.867708374	104.8721096
20120423	2012.3101	-0.5362707522	2.446266399	1.103576871	102.3647892
20120424	2012.3128	-0.4554261136	2.525787198	1.376779967	100.2212083
20120425	2012.3156	-0.3695201833	2.537217937	1.669018064	98.28629292
20120426	2012.3183	-0.2794170382	2.478993	1.956614085	96.43089042
20120427	2012.3210	-0.1869186844	2.353981965	2.212579952	94.54006352
20120428	2012.3238	-0.0947316285	2.169273106	2.409279913	92.50050403
20120429	2012.3265	-0.006255098583	1.935648301	2.521423405	90.18515218
20120430	2012.3292	0.07477692523	1.666786953	2.52902903	87.43126661
20120501	2012.3320	0.1447428954	1.378256319	2.419963451	84.00483874
20120502	2012.3347	0.2006069691	1.086368597	2.191698443	79.53771356
20120503	2012.3374	0.2403594179	0.8070042264	1.852037957	73.41428
20120504	2012.3402	0.263367409	0.5545073582	1.41871407	64.59427037
20120505	2012.3429	0.2705756253	0.3407504141	0.9179036707	51.54838329
20120506	2012.3456	0.2644983336	0.1744443441	0.3818526789	33.4060126
20120507	2012.3484	0.2489692286	0.06074368387	-0.154102497	13.71119257
20120508	2012.3511	0.228664242	0.001162240112	-0.6547648639	0.2912168478
20120509	2012.3538	0.2084683538	-0.006220905766	-1.088194431	358.2907434
20120510	2012.3566	0.1927968352	0.03368326637	-1.428390524	9.910045182
20120511	2012.3593	0.1849884968	0.113587102	-1.65730006	31.55086181
20120512	2012.3620	0.1868645891	0.2245358519	-1.766015966	50.23189028
20120513	2012.3648	0.1985079134	0.3566485746	-1.755122147	60.90001677
20120514	2012.3675	0.2182780407	0.4998345679	-1.634209969	66.40907885
20120515	2012.3702	0.2430466395	0.6444364214	-1.42064803	69.33623159
20120516	2012.3730	0.2686134298	0.7817591485	-1.137745317	71.03721403
20120517	2012.3757	0.2902484117	0.9044571523	-0.8124987835	72.20809842
20120518	2012.3784	0.3032972066	1.006763323	-0.4731433938	73.23456321
20120519	2012.3811	0.3037812327	1.084554889	-0.1467252408	74.3525676
20120520	2012.3839	0.2889248463	1.135263462	0.1430938132	75.72133618
20120521	2012.3866	0.2575517102	1.157656979	0.3778163141	77.4572984
20120522	2012.3893	0.2103126646	1.15154544	0.5453315162	79.64984957
20120523	2012.3921	0.1497296917	1.117479397	0.6404908466	82.36846192
20120524	2012.3948	0.08005591593	1.056509395	0.665006437	85.6667518
