# YYYYMMDD	YYYY.DECM	N_filt(mm)	E_filt(mm)	U_filt(mm)	Azimuth(deg)
20120401	2012.2500	0.2741007639	-0.3162843391	-0.6652877992	310.9131077
20120402	2012.2527	0.3383176933	-1.397259893	-0.1778278179	283.611038
20120403	2012.2555	0.3410696239	-1.386084048	0.05753311178	283.8239624
20120404	2012.2582	0.3366838874	-1.584600021	-0.02923468733	281.9953903
20120405	2012.2609	0.3125359815	-1.790402125	-0.1510564429	279.9018878
20120406	2012.2637	0.3446119389	-1.801940122	-0.4893706588	280.8267961
20120407	2012.2664	0.3730353019	-1.744696866	-0.5827294683	282.068747
20120408	2012.2691	0.3970655037	-1.491668178	-0.5699809288	284.9058572
20120409	2012.2719	0.417996805	-1.370901776	-0.5373689796	286.9568023
20120410	2012.2746	0.4362674342	-1.255103984	-0.4826389783	289.1671781
20120411	2012.2773	0.4527260073	-1.169766282	-0.3513042036	291.1575645
20120412	2012.2801	0.4579536876	-1.058281485	-0.2182317813	293.3997444
20120413	2012.2828	0.4563911749	-0.9366186117	-0.05717430067	295.9788334
20120414	2012.2855	0.4515989414	-0.7075576975	0.1256145513	302.5480684
20120415	2012.2883	0.4442217641	-0.4507129518	0.1031298191	314.5844265
20120416	2012.2910	0.4253237242	-0.1476699999	-0.01760451075	340.853287
20120417	2012.2937	0.4089972112	0.1663106004	-0.1220647251	22.12814174
20120418	2012.2964	0.3705451423	0.5423514481	-0.2648705692	55.65834481
20120419	2012.2992	0.3404796132	0.883963563	-0.3523193635	68.93462191
20120420	2012.3019	0.2800542165	1.203189797	-0.4133462108	76.89714597
20120421	2012.3046	0.2251962367	1.440891342	-0.4285457586	81.11712971
20120422	2012.3074	0.1468626253	1.644941035	-0.1893382575	84.89808044
20120423	2012.3101	0.07830483941	1.79245656	-0.006988575141	87.4985804
20120424	2012.3128	-0.002255571644	1.892649887	0.5959407642	90.0682824
20120425	2012.3156	-0.06021637159	1.905673688	0.9260381904	91.80985673
20120426	2012.3183	-0.06148863849	1.849318946	1.285608097	91.90434542
20120427	2012.3210	0.1223701011	1.856569565	1.63755255	86.22897865
20120428	2012.3238	0.316304981	1.693114461	1.942242625	79.41807434
20120429	2012.3265	0.2730488886	1.452057771	2.145446972	79.35030835
20120430	2012.3292	0.2335518019	1.115939223	2.188617416	78.1793416
20120501	2012.3320	0.2258030244	0.7505080015	1.782422583	73.25519751
20120502	2012.3347	0.2109839259	0.4506902433	1.43813262	64.91405603
20120503	2012.3374	0.2814320967	0.1282678969	0.612392623	24.50200623
20120504	2012.3402	0.2945787036	-0.07369867544	0.2755021023	345.9538718
20120505	2012.3429	0.2970394105	-0.2978570715	-0.09022551761	314.9212493
20120506	2012.3456	0.3045137327	-0.3016904618	-0.467513229	315.2668413
20120507	2012.3484	0.3071992932	-0.3810218275	-0.8408419054	308.8775369
20120508	2012.3511	0.3113926475	-0.2782668152	-1.192647915	318.2153771
20120509	2012.3538	0.3167033771	-0.2883320597	-1.499055558	317.6847466
20120510	2012.3566	0.3196907041	-0.1751860506	-1.749065756	331.2778728
20120511	2012.3593	0.3326465451	-0.1526904076	-1.938574901	335.3440742
20120512	2012.3620	0.3524923011	-0.004867117752	-2.061446904	359.2089257
20120513	2012.3648	0.4257866889	0.03217775284	-2.098211489	4.321768722
20120514	2012.3675	0.4070667199	0.3493036029	-2.05065183	40.63286516
20120515	2012.3702	0.3971605285	0.4473824654	-1.936202507	48.4031664
20120516	2012.3730	0.348337352	0.5814494116	-1.766441099	59.07482678
20120517	2012.3757	0.2925514059	0.6308315098	-1.563784083	65.12024122
20120518	2012.3784	0.2304461191	0.8095529414	-1.327603897	74.11054676
20120519	2012.3811	0.166497414	0.8786848059	-1.080927384	79.27052593
20120520	2012.3839	0.1067704855	1.040545309	-0.3099521169	84.14137691
20120521	2012.3866	0.05195460266	1.024696204	-0.3068571103	87.09744944
20120522	2012.3893	0.005193116252	1.073401153	0.0778767377	89.7228051
20120523	2012.3921	-0.03369428175	1.026624405	-0.001037766037	91.87979888
20120524	2012.3948	-0.06576852467	1.064975646	0.2789933026	93.53386426
20120525	2012.3975	-0.1307012638	0.9662707538	0.1324806759	97.70328027
20120526	2012.4003	-0.3387729922	0.9540633121	0.3304609122	109.5491564
20120527	2012.4030	-0.5114609892	0.8138993158	0.1397971682	122.1455902
20120528	2012.4057	-0.6155745339	0.7695970715	0.2763923573	128.6551266
20120529	2012.4085	-0.6536376315	0.5975601703	0.06279286893	137.5662234
20120530	2012.4112	-0.7217909013	0.4946938897	0.1579868944	145.5744269
20120531	2012.4139	-0.775510121	0.2785668809	-0.06016690407	160.2414732
20120601	2012.4167	-0.7698263445	0.1688681352	0.01197680173	167.6276316
20120602	2012.4194	-0.7097643659	-0.03081612431	-0.1875819326	182.4860725
20120603	2012.4221	-0.6120651243	-0.1286836475	-0.1118266061	191.8732244
20120604	2012.4249	-0.4837954621	-0.3064353837	-0.2649124385	212.3501137
20120605	2012.4276	-0.3352749306	-0.38211593	-0.1569244408	228.7357423
20120606	2012.4303	-0.1752879403	-0.5251487864	-0.2336647262	251.5416504
20120607	2012.4331	-0.01304529132	-0.5631861205	-0.06223928455	268.6730737
20120608	2012.4358	0.1422023681	-0.6725041867	-0.02521239206	281.9394365
20120609	2012.4385	0.2832118477	-0.7060495897	0.241990556	291.8567946
20120610	2012.4413	0.4042570932	-0.8295322309	0.3812222617	295.9814274
20120611	2012.4440	0.4827816048	-0.9189235412	0.6944355813	297.7164187
20120612	2012.4467	0.5429057194	-1.02268126	0.8705807692	297.9622695
20120613	2012.4495	0.5692172465	-1.041544674	1.174565684	298.6571586
20120614	2012.4522	0.5564458684	-1.08927588	1.359906787	297.0597702
20120615	2012.4549	0.5126190134	-1.058065096	1.622342567	295.849595
20120616	2012.4577	0.4356600075	-1.053722166	1.751037447	292.4625819
20120617	2012.4604	0.3316948946	-0.9855444549	1.667993782	288.6011772
20120618	2012.4631	0.1984390279	-0.9463290859	1.395811625	281.8429569
20120619	2012.4658	0.04152203781	-0.8579484817	1.386645003	272.7707756
20120620	2012.4686	-0.1547360846	-0.8010530024	1.34962286	259.0670652
20120621	2012.4713	-0.4932659835	-0.708680113	1.481910977	235.160742
20120622	2012.4740	-0.7607616062	-0.6495662764	1.571162431	220.4919202
20120623	2012.4768	-0.924646297	-0.5678422941	1.694277966	211.5548508
20120624	2012.4795	-1.057793006	-0.5159119694	1.752628492	205.9996433
20120625	2012.4822	-1.145743401	-0.4489758802	1.800548353	201.3984373
20120626	2012.4850	-1.177726903	-0.4101489553	1.789645857	199.2009135
20120627	2012.4877	-1.119521636	-0.3619831423	1.759391845	197.9179568
20120628	2012.4904	-0.9058725639	-0.3417213766	1.672918874	200.6679287
20120629	2012.4932	-0.6932852399	-0.3186419824	1.557864499	204.6840633
20120630	2012.4959	-0.497140183	-0.3233598367	1.399592327	213.0415845
20120701	2012.4986	-0.3079931492	-0.2412130361	1.217726929	218.0672172
