# YYYYMMDD	N_correlation	E_correlation	U_correlation
20120430	0.6987247745	-0.2203835035	-0.7233222882
20120501	0.6525427139	-0.121213484	-0.8461088988
20120502	0.6187713443	0.04691967222	-0.8594889729
20120503	0.5983797208	0.3122666517	-0.8411961505
20120504	0.5969223274	0.5623600645	-0.8031471202
20120505	0.6146656219	0.7576469644	-0.7590670161
20120506	0.652617746	0.8940109635	-0.7403780557
20120507	0.6958777723	0.9373836949	-0.72931867
20120508	0.7438856063	0.9597609655	-0.7420816737
20120509	0.7790398685	0.9584082545	-0.7482122678
20120510	0.8188133537	0.9497203421	-0.7489575292
20120511	0.8568675771	0.9304338689	-0.7381520507
20120512	0.8890583454	0.9128201507	-0.7144697197
20120513	0.9114765351	0.8952181739	-0.6717454153
20120514	0.9312159084	0.8855036056	-0.5982885994
20120515	0.9456989546	0.8890685719	-0.494644197
20120516	0.9589600344	0.9056497704	-0.3985567766
20120517	0.9657613132	0.9233090205	-0.3260923481
20120518	0.9686333159	0.9413831631	-0.3160941868
20120519	0.9690080658	0.9523776436	-0.3330039874
20120520	0.9687666264	0.9606048045	-0.3711567084
20120521	0.967953816	0.9645595069	-0.4116723295
20120522	0.9671636196	0.9668896043	-0.4305286936
20120523	0.966563286	0.9698776117	-0.4043980743
20120524	0.9665187144	0.9720189872	-0.3148567177
20120525	0.9669257394	0.97415468	-0.1574511982
20120526	0.9669482569	0.9757431227	0.04368248556
20120527	0.9628311724	0.9772112796	0.2625008941
20120528	0.9566362655	0.978284812	0.4219730409
20120529	0.9290255605	0.9790188004	0.5511385529
20120530	0.8741616618	0.9794497809	0.6394634375
20120531	0.784991762	0.9797071899	0.7033556053
20120601	0.6799682934	0.9797845479	0.7482528021
20120602	0.593513975	0.9798225931	0.7770173945
20120603	0.5424564852	0.9797225345	0.7916544913
20120604	0.522550017	0.9794177759	0.7931954161
20120605	0.5176487028	0.9784460769	0.7810742023
20120606	0.5282649309	0.9752211223	0.7626955154
20120607	0.5406576122	0.9704023352	0.7526726618
20120608	0.5673603668	0.9554022978	0.7497177652
20120609	0.5848004227	0.9392403237	0.7566552186
20120610	0.6062671922	0.9289160922	0.7710833351
20120611	0.6195432589	0.9302552429	0.792252803
20120612	0.6468293968	0.9425889008	0.8196752167
20120613	0.6697811887	0.9555472126	0.849408333
20120614	0.7150875053	0.9642593252	0.8776646451
20120615	0.7559911112	0.9668105206	0.9027655929
20120616	0.8147951646	0.969985442	0.9235997608
20120617	0.8580456696	0.9702344575	0.9384587884
20120618	0.896767302	0.9694440995	0.9486591903
20120619	0.8805656193	0.9661010268	0.9560027589
20120620	0.8290709552	0.9611684708	0.9600298631
20120621	0.7463468889	0.9552364544	0.9623193229
20120622	0.6766486706	0.9502329756	0.9623360061
20120623	0.6058444018	0.9465729929	0.9609634035
20120624	0.5348035941	0.9448783158	0.9578716825
20120625	0.4437536888	0.944142036	0.9535013565
20120626	0.368853477	0.9433423149	0.9474075836
20120627	0.3102491967	0.9396911527	0.9372129957
20120628	0.2858581611	0.9315109153	0.919919761
20120629	0.2878549736	0.9171330129	0.8863168131
20120630	0.307907339	0.8969645947	0.8381584394
20120701	0.3263633572	0.8701999391	0.7697595144
20120702	0.3226362849	0.8377724324	0.6759311596
20120703	0.2941733647	0.800926621	0.5505054407
20120704	0.2292284887	0.7636569059	0.3946532919
20120705	0.1396076699	0.7270579393	0.2243958655
20120706	0.03027275658	0.6927806437	0.08527900063
20120707	-0.06193911033	0.6646767749	0.0173766664
20120708	-0.1035166608	0.6520279629	0.005207924438
20120709	-0.07315355728	0.6587096968	0.008064272417
20120710	0.02629254832	0.6804605316	0.004248136934
20120711	0.1529537602	0.7093555152	-0.008313205449
20120712	0.2785365177	0.7350479967	-0.01235571908
20120713	0.3733238356	0.7553562306	-0.03076573514
20120714	0.4370233007	0.7644329457	-0.06972795524
20120715	0.4669207263	0.7705026972	-0.1234441979
20120716	0.4698211404	0.770582187	-0.1841250892
20120717	0.4490446377	0.7717359714	-0.2402188264
20120718	0.4176856469	0.7707580438	-0.2804269652
20120719	0.3947467879	0.772909367	-0.3106903124
20120720	0.3824259705	0.7771570906	-0.3381033522
20120721	0.3772451424	0.7844398061	-0.3520675404
20120722	0.3676436175	0.7959355712	-0.3303967547
20120723	0.3555829593	0.8097918401	-0.2464665713
20120724	0.3449806112	0.8219584758	-0.1142199674
20120725	0.3370768971	0.8258474489	0.04612082151
20120726	0.3292505717	0.8199115917	0.2127598795
20120727	0.3201710478	0.7922555688	0.3681635914
20120728	0.3087602658	0.7461893556	0.5005913661
20120729	0.292725598	0.6660275735	0.6180469834
20120730	0.2722086176	0.5605042654	0.7115663199
20120731	0.2439658587	0.420458884	0.7851182572
20120801	0.2153644198	0.2594332136	0.8422406114
20120802	0.1987546256	0.0921885333	0.8853005145
20120803	0.2003828051	-0.05879309291	0.9151358227
20120804	0.2098647911	-0.1646097232	0.9290490376
20120805	0.2279427417	-0.2338863822	0.9295499986
20120806	0.2312660511	-0.2755789355	0.9155425359
20120807	0.2279547336	-0.3014389827	0.8969171316
20120808	0.2090573608	-0.3128892568	0.8893121529
20120809	0.1812350201	-0.3166247665	0.8960417573
20120810	0.1461281697	-0.317847715	0.9107012411
20120811	0.1137483527	-0.3139527763	0.9253822472
20120812	0.09510700797	-0.3123083893	0.9387408
20120813	0.09428592547	-0.2966593417	0.9517822999
20120814	0.09827067519	-0.2758367727	0.9630881629
20120815	0.1408243048	-0.2138653036	0.9729878037
20120816	0.2239954808	-0.1234801817	0.9811521038
20120817	0.3267983272	0.02657776815	0.9878140434
20120818	0.4306307897	0.1972354921	0.9925574142
20120819	0.5247510814	0.3722492398	0.9954042781
