# YYYYMMDD	N_correlation	E_correlation	U_correlation
20120430	0.7648807729	0.6618661559	0.8955968532
20120501	0.7972726844	0.6316807122	0.8413078952
20120502	0.8197464309	0.5626038076	0.7541763276
20120503	0.8318923025	0.4783145581	0.6255700434
20120504	0.8363496459	0.3983490242	0.4588481759
20120505	0.8384000547	0.335153446	0.2769645665
20120506	0.8429044375	0.2952123457	0.1121315047
20120507	0.8513756442	0.2804469828	-0.01361187129
20120508	0.8620459244	0.2888219703	-0.09393090571
20120509	0.872028123	0.3147252713	-0.1312224963
20120510	0.8791915678	0.3498854052	-0.129872972
20120511	0.8828092553	0.385061073	-0.09384580645
20120512	0.8833516633	0.4122615914	-0.02725746249
20120513	0.8820104532	0.4274403864	0.06387900704
20120514	0.8802380095	0.4338468075	0.1704846251
20120515	0.8793513027	0.4447005906	0.2813479705
20120516	0.8802040117	0.4808598996	0.3860509066
20120517	0.882980154	0.559207535	0.4777001232
20120518	0.8871834849	0.6738299673	0.5535523872
20120519	0.891844273	0.7899041608	0.6137853543
20120520	0.8958732165	0.8740826973	0.6597794998
20120521	0.8984191771	0.9221572322	0.6927841746
20120522	0.8990655233	0.9464586435	0.7131073177
20120523	0.8977241768	0.958281619	0.7197230267
20120524	0.8941224754	0.9640217113	0.7103392509
20120525	0.8867939197	0.9667727443	0.6822102544
20120526	0.8715486944	0.9679677067	0.6338835268
20120527	0.8398813986	0.9682738191	0.5672111927
20120528	0.779408863	0.9680108286	0.4879536437
20120529	0.6808254747	0.9673377972	0.4040262818
20120530	0.5527435909	0.9663343579	0.3227547452
20120531	0.4288806761	0.9650330236	0.2492767467
20120601	0.3469795511	0.9634271426	0.1866783302
20120602	0.3219820616	0.9614654991	0.1370955936
20120603	0.3474165899	0.9590394988	0.1029786339
20120604	0.4097916546	0.9559688379	0.08810940497
20120605	0.4953381056	0.9519973298	0.09794432237
20120606	0.5903089685	0.9468264761	0.1382367676
20120607	0.6811294032	0.940243177	0.2106217687
20120608	0.756703363	0.9324162274	0.3068577382
20120609	0.8110487599	0.9243438706	0.4088713171
20120610	0.8436192958	0.9180988515	0.4970203934
20120611	0.8573254905	0.916197544	0.5567799363
20120612	0.8562545185	0.9200371613	0.5785380603
20120613	0.8444257067	0.9287882886	0.5559896568
20120614	0.8255334983	0.9400229849	0.4875503382
20120615	0.80301124	0.9513109006	0.37977365
20120616	0.7798622068	0.9612117242	0.2486204913
20120617	0.7581947674	0.9692820871	0.1155158736
20120618	0.738836506	0.9756547321	0.0003091918373
20120619	0.7213748185	0.9806647713	-0.08374604685
20120620	0.7045941481	0.9846462024	-0.1308647505
20120621	0.6870364631	0.9878540737	-0.1413192773
20120622	0.6674801313	0.9904498435	-0.1205038793
20120623	0.6453178767	0.9925114681	-0.0795538297
20120624	0.6209131311	0.9940500894	-0.03494270114
20120625	0.5959554661	0.9950254085	-0.002991987839
