# YYYYMMDD	N_correlation	E_correlation	U_correlation
20130130	0.7654650055	-0.178267613	0.3973066605
20130131	0.774209254	-0.1562719078	0.3926564326
20130201	0.8059041439	-0.1496059715	0.3623587463
20130202	0.7973281201	-0.09383718274	0.274720771
20130203	0.7320602747	-0.01706715058	0.1418861104
20130204	0.6861930283	0.02778607323	0.1605833788
20130205	0.6224504212	0.1580585073	0.2086179929
20130206	0.5891501721	0.3387299846	0.1861201723
20130207	0.5432745199	0.363440182	0.07090318619
20130208	0.5101566258	0.3681535188	0.01869956943
20130209	0.495626554	0.383097978	-0.02870875267
20130210	0.5227801872	0.3443105924	-0.0836188671
20130211	0.5501972589	0.269596196	-0.1368721944
20130212	0.5586348477	0.2178388108	-0.19366157
20130213	0.5816385189	0.1591271613	-0.2306374112
20130214	0.6350757782	0.1067015403	-0.2359425565
20130215	0.6555035424	-0.08329404832	-0.1996457882
20130216	0.6785576323	-0.04432785929	-0.1956922526
20130217	0.6643728776	-0.07371761106	-0.1764753201
20130218	0.6658426604	-0.07851708552	-0.2826178537
20130219	0.7262922516	-0.1176891473	-0.434892171
20130220	0.6952810235	-0.1259870706	-0.5080883705
20130221	0.6830014454	-0.1193254833	-0.4878694385
20130222	0.6823624877	-0.06207746769	-0.5190370424
20130223	0.677338834	-0.1024644257	-0.5040977977
20130224	0.6608073954	0.07838087403	-0.5079267448
20130225	0.6160269966	0.3102390136	-0.4792239044
20130226	0.5418735792	0.5171157691	-0.4351470752
20130227	0.540646237	0.6398015027	-0.3854751958
20130228	0.5412601617	0.6680793738	-0.3496039182
20130301	0.5074241283	0.6949219951	-0.3229266495
20130302	0.5575798756	0.7167988221	-0.0650735013
20130303	0.6009855005	0.7374648583	-0.05030075976
20130304	0.6602196328	0.7584900151	-0.01522387402
20130305	0.7142539737	0.7780180353	0.08827211306
20130306	0.7517247439	0.786521899	0.2389448715
20130307	0.7937244835	0.798698316	0.4011281531
20130308	0.8189845042	0.7973377078	0.5164898754
20130309	0.8450406694	0.7909984173	0.6313804431
20130310	0.8703309287	0.7874003727	0.704920128
20130311	0.8913256749	0.7845933126	0.770993374
20130312	0.881132022	0.7807204863	0.841053059
20130313	0.8065885125	0.773640105	0.8213857555
20130314	0.7546520088	0.7549570218	0.8452627592
20130315	0.7015518706	0.7398760435	0.8331331133
20130316	0.6349458194	0.644931417	0.7995973322
20130317	0.5421103085	0.6216768467	0.7673617152
20130318	0.4907215665	0.5981557605	0.7389710009
20130319	0.3991686237	0.5831595957	0.7115565254
20130320	0.3251467115	0.5326878725	0.6799499945
20130321	0.2691913171	0.5735907399	0.6922492737
20130322	0.2480474445	0.5540620231	0.6545683722
20130323	0.1001967823	0.5681480919	0.6439964866
20130324	0.02692928214	0.581716308	0.5979693232
20130325	-0.06842668161	0.5831308207	0.5492379547
20130326	-0.1417062114	0.6059992034	0.5473592376
20130327	-0.1748700468	0.6441373946	0.5683452232
20130328	-0.1794314511	0.6647998476	0.5915660345
20130329	-0.1433164022	0.6556387486	0.6152432208
20130330	-0.08449334388	0.5975559374	0.6663386873
20130331	-0.02191642124	0.5551491839	0.6855392314
20130401	0.1392670499	0.4996768692	0.7183231431
