Time	Filtered_Annual	Fitted_Annual	Residual	Anomaly
20070701	308.410	-33.191	341.600	1
20070702	300.923	-26.211	327.134	1
20070703	292.133	-19.238	311.371	1
20070704	282.302	-12.273	294.575	1
20070705	270.541	-5.319	275.860	1
20070706	256.182	1.623	254.559	1
20070707	239.696	8.550	231.146	1
20070708	220.919	15.460	205.459	1
20070709	202.025	22.352	179.673	1
20070710	184.860	29.223	155.636	1
20070711	169.024	36.072	132.952	1
20070712	155.500	42.895	112.605	1
20070713	143.695	49.692	94.003	1
20070714	133.061	56.460	76.602	0
20070715	125.272	63.197	62.075	0
20070716	120.933	69.901	51.032	0
20070717	117.929	76.571	41.358	0
20070718	115.216	83.203	32.013	0
20070719	113.202	89.797	23.405	0
20070720	111.122	96.350	14.772	0
20070721	110.981	102.860	8.121	0
20070722	114.310	109.326	4.984	0
20070723	119.773	115.745	4.028	0
20070724	127.604	122.116	5.488	0
20070725	136.487	128.436	8.051	0
20070726	144.938	134.704	10.234	0
20070727	153.684	140.918	12.766	0
20070728	162.297	147.076	15.221	0
20070729	170.778	153.176	17.602	0
20070730	179.392	159.217	20.175	0
20070731	187.183	165.196	21.987	0
20070801	193.689	171.112	22.577	0
20070802	201.046	176.963	24.084	0
20070803	210.536	182.747	27.789	0
20070804	221.757	188.463	33.294	0
20070805	235.523	194.108	41.415	0
20070806	250.361	199.682	50.679	0
20070807	265.105	205.182	59.923	0
20070808	281.139	210.607	70.531	0
20070809	298.491	215.955	82.536	1
20070810	315.700	221.225	94.475	1
20070811	332.117	226.415	105.702	1
20070812	347.406	231.523	115.883	1
20070813	360.730	236.548	124.181	1
20070814	373.176	241.489	131.687	1
20070815	385.363	246.344	139.020	1
20070816	396.138	251.111	145.027	1
20070817	405.342	255.789	149.553	1
20070818	413.259	260.376	152.883	1
20070819	419.740	264.872	154.867	1
20070820	424.868	269.275	155.593	1
20070821	428.770	273.583	155.187	1
20070822	430.577	277.796	152.782	1
20070823	429.725	281.911	147.813	1
20070824	426.397	285.928	140.468	1
20070825	420.308	289.846	130.462	1
20070826	413.665	293.663	120.002	1
20070827	408.229	297.378	110.851	1
20070828	403.527	300.990	102.536	1
20070829	400.489	304.498	95.991	1
20070830	398.308	307.901	90.407	1
20070831	396.263	311.198	85.065	1
20070901	395.977	314.387	81.590	1
20070902	397.925	317.468	80.457	1
20070903	400.006	320.440	79.566	0
20070904	401.175	323.302	77.873	0
20070905	401.673	326.053	75.620	0
20070906	400.657	328.692	71.965	0
20070907	399.976	331.218	68.758	0
20070908	400.994	333.631	67.363	0
20070909	402.328	335.930	66.398	0
20070910	404.103	338.113	65.990	0
20070911	405.890	340.182	65.708	0
20070912	406.880	342.134	64.747	0
20070913	407.649	343.968	63.681	0
20070914	408.163	345.686	62.477	0
20070915	408.015	347.285	60.730	0
20070916	407.139	348.766	58.373	0
20070917	405.256	350.128	55.128	0
20070918	402.079	351.370	50.709	0
20070919	398.840	352.492	46.348	0
20070920	396.365	353.494	42.871	0
20070921	394.326	354.376	39.950	0
20070922	393.156	355.136	38.020	0
20070923	392.157	355.775	36.382	0
20070924	390.725	356.292	34.432	0
20070925	389.636	356.688	32.948	0
20070926	388.959	356.962	31.997	0
20070927	388.176	357.114	31.062	0
20070928	387.164	357.143	30.021	0
20070929	385.794	357.051	28.743	0
20070930	383.792	356.836	26.956	0
20071001	381.703	356.499	25.204	0
20071002	379.854	356.039	23.815	0
20071003	377.876	355.458	22.418	0
20071004	375.808	354.754	21.054	0
20071005	373.634	353.929	19.705	0
20071006	371.225	352.982	18.244	0
20071007	368.733	351.913	16.820	0
20071008	366.206	350.723	15.483	0
20071009	363.480	349.412	14.068	0
20071010	360.497	347.980	12.517	0
20071011	357.280	346.428	10.852	0
20071012	353.781	344.756	9.024	0
20071013	350.174	342.965	7.209	0
20071014	346.596	341.054	5.541	0
20071015	342.975	339.025	3.950	0
20071016	339.364	336.878	2.485	0
20071017	335.703	334.614	1.090	0
20071018	331.928	332.232	-0.304	0
