#YYYY.DECM     baseline(mm)     azimuth(millisecond)     sigma_baseline(mm)     sigma_azimuth(millisecond)
2010.6315     0.00     0.00     3.6357     5.1244
2010.6342     -0.25     3.04     3.1069     4.3704
2010.6370     -0.49     3.30     3.0367     4.2723
2010.6397     -0.97     0.78     2.8284     3.9809
2010.6425     0.07     1.20     2.7624     3.8822
2010.6452     -0.37     2.41     3.0621     4.3510
2010.6479     -3.01     4.13     2.9964     4.2303
2010.6507     -0.71     2.50     2.9270     4.1316
2010.6534     0.45     0.52     2.9364     4.1151
2010.6562     -1.77     2.50     3.0268     4.2880
2010.6589     -1.44     0.01     3.0374     4.2737
2010.6616     -0.47     1.81     2.8251     3.9737
2010.6644     -0.72     3.57     2.7966     3.9189
2010.6671     -2.95     1.86     2.7847     3.9308
2010.6699     -1.01     3.95     2.9988     4.2309
2010.6726     -0.44     2.51     3.0382     4.2724
2010.6753     0.06     3.56     2.7976     3.9212
2010.6781     -0.52     2.60     2.9262     4.1320
2010.6808     -3.42     3.67     3.0730     4.3336
2010.6836     -0.82     3.19     2.8667     4.0162
2010.6863     -1.13     2.25     2.6865     3.7763
2010.6890     -0.91     3.48     2.9694     4.1793
2010.6918     -0.85     0.98     2.6568     3.7236
2010.6945     -2.13     0.17     2.9695     4.1747
2010.6973     -0.83     1.02     2.8678     4.0208
2010.7000     -0.91     3.47     2.5424     3.5764
2010.7027     -0.94     5.16     2.8714     4.0264
2010.7055     -2.06     0.07     2.9979     4.2335
2010.7082     1.70     1.06     2.8609     4.0429
2010.7110     -1.91     2.26     2.7158     3.8374
2010.7137     -2.50     2.81     2.9251     4.1305
2010.7164     -1.12     1.18     2.8962     4.0748
2010.7192     -0.90     2.20     3.2385     4.5844
2010.7219     -0.98     2.50     2.9281     4.1358
2010.7247     -0.45     2.72     2.5459     3.5784
2010.7274     -1.36     1.44     2.6103     3.7015
2010.7301     -0.98     3.58     2.6133     3.6771
2010.7329     -2.30     2.93     2.6838     3.7750
2010.7356     -0.39     1.74     2.6534     3.7449
2010.7384     -0.80     2.79     2.6533     3.7444
2010.7411     -3.15     3.25     2.7655     3.9192
2010.7438     -1.00     1.38     2.7866     3.9367
2010.7466     -1.62     1.01     2.7863     3.9367
2010.7493     -1.37     0.34     2.7060     3.8513
2010.7521     -1.40     1.15     2.6748     3.7919
2010.7548     -1.44     3.03     2.3312     3.2780
2010.7575     -0.89     4.38     2.5323     3.5935
2010.7603     -0.45     3.14     2.5850     3.6449
2010.7630     0.86     2.49     2.5728     3.6345
2010.7658     -1.52     3.35     2.5033     3.5358
2010.7685     -1.93     4.18     2.6444     3.7342
2010.7712     -1.11     3.36     2.6133     3.6771
2010.7740     -2.70     5.08     2.5331     3.5921
2010.7767     -2.41     4.04     2.7063     3.8516
2010.7795     -2.50     5.62     2.5748     3.6649
2010.7822     -0.96     3.39     2.4655     3.4959
2010.7849     -1.20     5.17     2.8860     4.0901
2010.7877     -1.55     3.94     2.7196     3.8447
2010.7904     -1.59     3.22     3.5105     5.0794
2010.8205     -2.83     4.43     2.6744     3.7937
2010.8233     -3.45     5.35     2.2897     3.2358
2010.8260     -2.53     4.07     2.2905     3.2370
2010.8288     -2.61     4.15     2.4051     3.3799
2010.8315     -2.65     3.65     2.3317     3.2782
2010.8342     -3.15     4.98     2.5327     3.5942
2010.8370     -2.91     5.81     2.3622     3.3374
2010.8397     -2.83     4.22     2.4046     3.3797
2010.8425     -1.90     4.02     2.3616     3.3361
2010.8452     -2.94     3.82     2.2955     3.2425
2010.8479     -2.26     4.06     2.2901     3.2368
2010.8507     -2.71     5.93     2.6738     3.7927
2010.8534     -3.11     4.18     2.4305     3.4337
2010.8562     -2.52     5.16     2.3619     3.3364
2010.8589     -2.23     3.68     2.4807     3.4932
2010.8616     -2.64     3.66     2.3316     3.2786
