#YYYY.DECM     baseline(mm)     azimuth(millisecond)     sigma_baseline(mm)     sigma_azimuth(millisecond)
2010.4973     0.00     0.00     3.1811     2.5484
2010.5000     -6.73     0.96     4.7120     3.7561
2010.5027     -2.84     -1.23     3.8440     3.0638
2010.5055     -0.20     1.46     3.8745     3.0535
2010.5082     1.95     -0.68     3.0405     2.4309
2010.5110     3.86     -1.97     3.3952     2.7247
2010.5137     2.14     1.26     3.5187     2.8089
2010.5164     -0.17     -0.62     2.9726     2.3726
2010.5192     -0.07     0.87     3.1950     2.5546
2010.5219     -1.80     0.29     3.1748     2.5211
2010.5247     -0.15     0.20     3.5682     2.8633
2010.5274     -2.27     0.78     2.8756     2.3264
2010.5301     -1.79     -0.75     3.1808     2.5469
2010.5329     -1.21     -0.28     3.1235     2.5028
2010.5356     1.00     -1.75     3.7811     3.0105
2010.5384     5.45     4.16     3.7269     2.9834
2010.5411     -1.73     1.27     3.2799     2.5957
2010.5438     0.45     -0.69     2.8318     2.2552
2010.5466     1.52     2.56     3.4811     2.7943
2010.5493     0.51     3.39     3.5580     2.8581
2010.5521     -0.58     1.29     3.3454     2.7042
2010.5548     3.10     -2.01     2.9933     2.4073
2010.5575     1.05     0.18     3.5637     2.8811
2010.5603     1.26     -0.98     3.8752     3.1372
2010.5630     1.43     -0.67     3.3256     2.6432
2010.5658     4.21     1.53     3.3016     2.6299
2010.5685     -0.16     -1.65     3.1435     2.5305
2010.5712     -0.08     0.98     3.4650     2.7830
2010.5740     1.46     -1.00     4.2759     3.4553
2010.5767     -0.02     -0.09     4.8417     3.9021
2010.5795     -0.74     1.28     4.2073     3.4181
2010.5822     1.58     0.36     4.2920     3.4030
2010.5849     1.35     2.26     4.1839     3.3773
2010.5877     -0.80     -0.74     3.9702     3.1820
2010.5904     -3.16     2.77     4.6733     3.7290
2010.5932     1.47     -0.90     3.4038     2.7308
2010.5959     0.68     -0.83     3.7695     2.9819
2010.5986     1.23     -0.55     3.7611     3.0279
2010.6014     0.60     -2.02     3.8005     3.0443
2010.6041     3.29     0.76     3.9799     3.2224
2010.6068     1.60     -1.81     4.6478     3.7662
2010.6096     -0.05     -0.17     3.9343     3.1373
2010.6123     5.61     2.31     4.0918     3.2680
2010.6151     2.12     1.17     4.0449     3.2127
2010.6178     -1.69     0.53     3.1689     2.4667
2010.6205     1.48     -2.14     3.3922     2.7019
2010.6233     -0.82     2.25     3.3223     2.6644
2010.6260     0.55     -0.65     3.1934     2.5537
2010.6288     -3.34     1.34     3.1330     2.5016
2010.6836     1.48     0.63     3.4484     2.8324
2010.6863     1.03     0.29     2.9400     2.3593
2010.6890     -0.26     2.02     3.1409     2.5171
2010.6918     -0.60     2.63     3.2893     2.6468
2010.6945     -2.30     2.55     3.3797     2.7902
2010.6973     -0.76     0.78     3.3448     2.7139
2010.7000     -1.20     0.53     3.1577     2.5617
2010.7027     -1.98     4.93     3.4410     2.7972
2010.7055     -0.03     1.25     3.1572     2.5402
2010.7082     -0.93     3.15     3.7031     2.9917
2010.7110     -0.25     -0.36     3.9247     3.1757
2010.7137     -2.06     0.45     3.6496     2.9081
2010.7164     -1.17     0.00     3.2511     2.6702
