#YYYY.DECM     baseline(mm)     azimuth(millisecond)     sigma_baseline(mm)     sigma_azimuth(millisecond)
2010.4973     1.11     -10.59     3.1811     2.5484
2010.5000     -5.61     -9.64     4.7120     3.7561
2010.5027     -1.69     -11.85     3.8440     3.0638
2010.5055     0.97     -9.16     3.8745     3.0535
2010.5082     3.14     -11.32     3.0405     2.4309
2010.5110     5.08     -12.61     3.3952     2.7247
2010.5137     3.38     -9.40     3.5187     2.8089
2010.5164     1.10     -11.29     2.9726     2.3726
2010.5192     1.22     -9.82     3.1950     2.5546
2010.5219     -0.49     -10.40     3.1748     2.5211
2010.5247     1.19     -10.50     3.5682     2.8633
2010.5274     -0.90     -9.94     2.8756     2.3264
2010.5301     -0.41     -11.48     3.1808     2.5469
2010.5329     0.20     -11.02     3.1235     2.5028
2010.5356     2.43     -12.50     3.7811     3.0105
2010.5384     6.91     -6.60     3.7269     2.9834
2010.5411     -0.25     -9.50     3.2799     2.5957
2010.5438     1.96     -11.47     2.8318     2.2552
2010.5466     3.05     -8.23     3.4811     2.7943
2010.5493     2.06     -7.42     3.5580     2.8581
2010.5521     0.99     -9.53     3.3454     2.7042
2010.5548     4.70     -12.84     2.9933     2.4073
2010.5575     2.67     -10.66     3.5637     2.8811
2010.5603     2.90     -11.83     3.8752     3.1372
2010.5630     3.10     -11.54     3.3256     2.6432
2010.5658     5.90     -9.35     3.3016     2.6299
2010.5685     1.56     -12.54     3.1435     2.5305
2010.5712     1.66     -9.92     3.4650     2.7830
2010.5740     3.22     -11.91     4.2759     3.4553
2010.5767     1.76     -11.01     4.8417     3.9021
2010.5795     1.06     -9.65     4.2073     3.4181
2010.5822     3.41     -10.58     4.2920     3.4030
2010.5849     3.20     -8.69     4.1839     3.3773
2010.5877     1.08     -11.71     3.9702     3.1820
2010.5904     -1.26     -8.20     4.6733     3.7290
2010.5932     3.39     -11.89     3.4038     2.7308
2010.5959     2.63     -11.83     3.7695     2.9819
2010.5986     3.20     -11.56     3.7611     3.0279
2010.6014     2.60     -13.04     3.8005     3.0443
