#YYYY.DECM     baseline(mm)     azimuth(millisecond)     sigma_baseline(mm)     sigma_azimuth(millisecond)
2014.0014     0.00     0.00     2.8362     4.0688
2014.0041     1.73     -3.46     2.6778     4.0089
2014.0068     0.05     -2.08     2.7197     3.9576
2014.0096     -0.68     -0.28     2.7909     4.2090
2014.0123     -0.93     -3.04     2.7388     4.0385
2014.0151     0.74     -2.12     2.7011     4.0910
2014.0178     0.07     -1.85     2.5717     3.7620
2014.0205     0.33     -1.38     2.5985     3.8504
2014.0233     0.14     -2.86     2.7309     4.0297
2014.0260     0.05     -2.93     2.6642     3.9395
2014.0288     0.69     -3.97     2.6411     3.8564
2014.0315     0.13     -2.29     2.5603     3.6896
2014.0342     -0.28     -1.82     2.5795     3.7692
2014.0370     1.08     -1.56     2.6922     4.0220
2014.0397     0.02     -2.03     2.5986     3.8504
2014.0425     -0.27     -1.02     2.6943     3.8756
2014.0452     0.28     -3.21     2.7823     4.0466
2014.0479     0.36     -1.18     2.4861     3.5915
2014.0507     1.88     -1.87     2.6448     3.8578
2014.0534     -0.40     0.43     2.5721     3.7644
2014.0562     1.19     -0.14     3.1530     4.5948
2014.0589     -0.15     -2.16     2.5792     3.7683
2014.0616     1.71     -2.83     2.8722     4.2215
2014.0644     0.51     -1.84     2.6598     3.8864
2014.0671     -0.52     -1.79     2.7306     4.0270
2014.0699     -0.10     -2.27     2.6474     3.8690
2014.0726     -0.45     -1.13     3.2331     4.9079
2014.0753     2.21     -3.52     2.7853     4.0486
2014.0781     0.13     -2.86     2.8043     4.1267
2014.0808     1.82     -2.85     2.6665     3.9504
2014.0836     -0.39     -1.55     2.7646     3.9715
2014.0863     -0.97     -1.80     2.5792     3.7691
2014.0890     -0.33     -0.59     2.6022     3.8658
2014.0918     0.18     -1.56     2.8894     4.2908
2014.0945     1.06     -6.28     2.7484     4.1030
2014.0973     0.18     -3.54     2.9505     4.4812
2014.1000     2.12     -4.14     2.8993     4.3105
2014.1027     0.99     -1.90     2.9628     4.3907
2014.1055     -0.37     -1.06     3.0689     4.5831
2014.1082     0.17     -3.24     2.8033     4.1230
2014.1110     -0.49     -1.86     2.6760     3.9532
2014.1137     -0.42     -1.50     3.1400     4.7311
2014.1164     -0.93     -2.19     2.7586     4.1212
2014.1192     -0.34     -2.54     2.8037     4.1265
2014.1219     0.47     -3.14     2.8358     4.2247
2014.1247     0.73     -6.59     2.8598     4.1451
2014.1274     -1.13     -3.37     2.9821     4.2561
2014.1301     -3.31     -3.58     2.9161     4.3803
2014.1329     0.75     -3.27     2.9623     4.3882
2014.1356     -0.89     -0.04     2.8523     4.2936
2014.1384     0.56     -2.23     2.9627     4.3894
2014.1411     1.80     -2.22     2.8356     4.2255
2014.1438     0.56     -0.54     2.6812     4.0110
2014.1466     -0.06     -4.63     2.9925     4.6877
2014.1493     1.16     0.21     2.9918     4.6861
2014.1521     -1.26     -3.05     2.7563     4.1109
2014.1548     -1.03     -1.09     2.7764     4.1924
2014.1575     -2.56     0.73     3.0299     4.4806
2014.1603     -1.79     -1.74     3.1739     4.8817
2014.1630     0.16     -2.92     2.9711     4.6045
2014.1658     -0.33     -2.82     3.0362     4.4876
2014.1685     -0.16     0.97     3.0575     4.7750
2014.1712     -0.82     -1.34     2.9355     4.4612
2014.1740     -0.58     -0.24     3.3534     5.2248
2014.1767     -0.68     -1.40     3.8079     6.0892
2014.1795     -0.83     -2.43     3.1314     4.8737
2014.1822     -0.87     -2.91     3.1207     4.6518
2014.1849     0.64     -2.72     3.3293     5.0916
2014.1877     -1.26     -1.65     3.1647     4.9133
2014.1904     -1.09     -2.64     3.2157     4.8369
2014.1932     1.16     -1.47     3.0679     4.7868
2014.1959     -0.39     -2.12     3.1774     4.8832
2014.1986     -0.73     -2.95     2.8958     4.2968
2014.2014     -1.78     -2.03     3.3088     5.0100
2014.2041     0.03     -1.20     3.0893     4.6670
2014.2068     0.90     -2.52     2.9074     4.3683
2014.2096     0.53     -3.28     3.1445     4.8889
2014.2123     -0.86     0.18     3.5073     5.4326
