#YYYY.DECM     baseline(mm)     azimuth(millisecond)     sigma_baseline(mm)     sigma_azimuth(millisecond)
2014.0014     1.46     6.95     2.8362     4.0688
2014.0041     3.19     3.49     2.6778     4.0089
2014.0068     1.51     4.87     2.7197     3.9576
2014.0096     0.79     6.66     2.7909     4.2090
2014.0123     0.54     3.90     2.7388     4.0385
2014.0151     2.21     4.81     2.7011     4.0910
2014.0178     1.54     5.08     2.5717     3.7620
2014.0205     1.81     5.55     2.5985     3.8504
2014.0233     1.61     4.06     2.7309     4.0297
2014.0260     1.53     3.99     2.6642     3.9395
2014.0288     2.18     2.95     2.6411     3.8564
2014.0315     1.62     4.63     2.5603     3.6896
2014.0342     1.21     5.09     2.5795     3.7692
2014.0370     2.57     5.35     2.6922     4.0220
2014.0397     1.52     4.88     2.5986     3.8504
2014.0425     1.23     5.88     2.6943     3.8756
2014.0452     1.78     3.68     2.7823     4.0466
2014.0479     1.87     5.72     2.4861     3.5915
2014.0507     3.39     5.02     2.6448     3.8578
2014.0534     1.11     7.31     2.5721     3.7644
2014.0562     2.70     6.74     3.1530     4.5948
2014.0589     1.37     4.72     2.5792     3.7683
2014.0616     3.23     4.04     2.8722     4.2215
2014.0644     2.04     5.04     2.6598     3.8864
2014.0671     1.00     5.08     2.7306     4.0270
2014.0699     1.43     4.59     2.6474     3.8690
2014.0726     1.08     5.73     3.2331     4.9079
2014.0753     3.74     3.34     2.7853     4.0486
2014.0781     1.67     3.99     2.8043     4.1267
2014.0808     3.37     4.00     2.6665     3.9504
2014.0836     1.15     5.30     2.7646     3.9715
2014.0863     0.58     5.04     2.5792     3.7691
2014.0890     1.22     6.25     2.6022     3.8658
2014.0918     1.73     5.27     2.8894     4.2908
2014.0945     2.62     0.55     2.7484     4.1030
2014.0973     1.74     3.29     2.9505     4.4812
2014.1000     3.68     2.68     2.8993     4.3105
2014.1027     2.55     4.92     2.9628     4.3907
2014.1055     1.20     5.76     3.0689     4.5831
2014.1082     1.74     3.58     2.8033     4.1230
2014.1110     1.08     4.95     2.6760     3.9532
2014.1137     1.16     5.31     3.1400     4.7311
2014.1164     0.65     4.61     2.7586     4.1212
2014.1192     1.25     4.26     2.8037     4.1265
2014.1219     2.06     3.65     2.8358     4.2247
2014.1247     2.32     0.20     2.8598     4.1451
2014.1274     0.46     3.42     2.9821     4.2561
2014.1301     -1.71     3.20     2.9161     4.3803
2014.1329     2.35     3.51     2.9623     4.3882
2014.1356     0.71     6.74     2.8523     4.2936
2014.1384     2.16     4.55     2.9627     4.3894
2014.1411     3.41     4.55     2.8356     4.2255
2014.1438     2.17     6.23     2.6812     4.0110
2014.1466     1.55     2.14     2.9925     4.6877
2014.1493     2.77     6.97     2.9918     4.6861
2014.1521     0.36     3.70     2.7563     4.1109
2014.1548     0.59     5.66     2.7764     4.1924
2014.1575     -0.93     7.48     3.0299     4.4806
2014.1603     -0.16     5.00     3.1739     4.8817
2014.1630     1.79     3.82     2.9711     4.6045
2014.1658     1.30     3.92     3.0362     4.4876
2014.1685     1.47     7.70     3.0575     4.7750
2014.1712     0.82     5.39     2.9355     4.4612
2014.1740     1.06     6.49     3.3534     5.2248
2014.1767     0.97     5.32     3.8079     6.0892
2014.1795     0.82     4.29     3.1314     4.8737
2014.1822     0.79     3.81     3.1207     4.6518
2014.1849     2.29     4.00     3.3293     5.0916
2014.1877     0.40     5.06     3.1647     4.9133
2014.1904     0.57     4.07     3.2157     4.8369
2014.1932     2.82     5.23     3.0679     4.7868
2014.1959     1.28     4.58     3.1774     4.8832
2014.1986     0.93     3.74     2.8958     4.2968
2014.2014     -0.11     4.66     3.3088     5.0100
2014.2041     1.70     5.49     3.0893     4.6670
2014.2068     2.58     4.17     2.9074     4.3683
2014.2096     2.21     3.40     3.1445     4.8889
2014.2123     0.82     6.85     3.5073     5.4326
2014.2151     2.03     4.40     3.2515     4.9823
2014.2178     2.57     6.16     3.3957     5.3809
2014.2205     2.29     3.50     3.3316     5.2986
2014.2233     2.99     2.60     2.9295     4.3959
2014.2260     3.87     5.20     2.8703     4.3144
2014.2288     2.36     2.77     3.3412     5.0951
2014.2315     2.05     6.63     3.0293     4.6345
2014.2342     1.03     4.39     3.6193     5.4698
2014.2370     0.25     8.85     3.8828     6.0380
2014.2397     1.09     7.62     3.6575     5.6231
2014.2425     0.98     3.42     3.2991     4.9972
2014.2452     1.94     3.84     3.5836     5.5337
2014.2479     0.71     2.96     3.4494     5.4023
2014.2507     -0.16     8.79     3.3117     4.8598
2014.2534     -0.03     4.53     2.9334     4.4521
2014.2562     2.20     5.18     2.8354     4.2246
2014.2589     0.30     7.65     3.3041     5.2091
2014.2616     1.53     3.48     3.2701     4.8477
2014.2644     0.02     6.37     3.2073     4.8221
2014.2671     2.64     5.77     3.3896     5.1276
2014.2699     1.92     4.49     3.2991     4.9972
2014.2726     0.47     3.31     3.1968     4.9594
2014.2753     -0.52     7.45     3.2511     4.9807
2014.2781     2.84     5.30     3.2087     4.8276
2014.2808     3.39     1.41     3.1209     4.6531
2014.2836     1.72     4.16     3.5249     5.2979
2014.2863     -1.12     8.97     3.3330     5.1087
2014.2890     0.09     3.15     3.6641     5.6910
2014.2918     0.06     2.67     3.8790     6.1981
2014.2945     2.09     7.74     3.6084     5.4654
2014.2973     2.11     4.60     3.1360     4.6858
2014.3000     3.30     5.87     3.1180     4.8179
2014.3027     1.18     2.43     3.3730     5.3037
2014.3055     1.29     2.17     3.1138     4.8024
2014.3082     2.19     5.84     3.1189     4.6546
2014.3110     1.14     6.77     3.2431     4.7655
2014.3137     1.55     4.89     3.5056     5.1671
2014.3164     1.72     4.49     3.5250     5.2980
2014.3192     2.72     4.25     3.3734     5.0960
2014.3219     1.18     5.83     3.4647     5.2617
2014.3247     0.16     7.80     3.3332     5.1095
