#YYYY.DECM     baseline(mm)     azimuth(millisecond)     sigma_baseline(mm)     sigma_azimuth(millisecond)
2010.8918     -0.39     -4.23     3.7243     4.2783
2010.8945     21.30     -3.83     4.0894     4.4985
2010.8973     5.40     -2.86     3.5705     3.9345
2010.9000     3.94     -3.21     3.3657     3.8263
2010.9027     6.61     -5.44     3.9277     4.3783
2010.9055     8.31     -4.42     3.7117     4.1112
2010.9082     3.13     -5.01     4.0736     4.6377
2010.9110     20.53     2.80     4.0792     4.5669
2010.9137     1.72     -3.44     4.3805     4.7148
2010.9164     6.52     -1.93     3.7637     4.2312
2010.9192     4.21     -3.13     3.7165     4.1932
2010.9219     1.31     -0.57     3.6617     4.1135
2010.9247     -0.15     -3.02     3.9338     4.3061
2010.9274     5.22     -1.99     3.6439     4.1012
2010.9301     5.66     -3.08     3.8629     4.2967
2010.9329     4.91     -5.15     3.8614     4.2968
2010.9356     11.02     -4.15     4.1446     4.6473
2010.9384     -1.54     -0.44     3.9402     4.3921
2010.9411     -0.47     -2.43     5.0403     5.5537
2010.9438     3.45     1.64     5.9072     6.4814
2010.9466     7.07     -6.83     3.9717     4.3494
2010.9493     2.40     -3.32     3.6507     4.1122
2010.9521     5.56     -6.00     4.0056     4.3318
2010.9548     2.20     -4.83     4.0857     4.6537
2010.9575     2.72     -1.52     3.5692     3.9350
2010.9603     14.37     -3.86     4.0169     4.4895
2010.9630     2.97     -5.82     3.6003     4.0348
2010.9658     3.39     -3.38     3.3655     3.8263
2010.9685     4.65     -1.67     3.7839     4.2786
2010.9712     4.03     -3.65     3.5026     3.9259
2010.9740     4.35     -6.01     3.6652     4.1300
2010.9767     6.30     -2.87     3.7413     4.2092
2010.9795     -2.57     -5.55     3.8016     4.2888
2010.9822     3.92     -3.52     3.3667     3.8268
2010.9849     5.92     -5.88     3.3731     3.8340
2010.9877     11.69     -1.36     3.6692     4.1996
2010.9904     1.29     -3.05     3.4396     3.9167
2010.9932     1.41     -2.98     3.4435     3.8435
2010.9959     4.77     -1.69     3.3103     3.7538
2010.9986     1.63     -2.43     3.6454     4.0273
2011.0014     -1.50     -1.22     3.6332     4.0193
2011.0068     6.47     -3.44     3.1649     3.5087
2011.0096     0.29     -1.03     3.2205     3.6506
2011.0123     6.16     -4.64     3.5399     3.9577
