#YYYY.DECM     baseline(mm)     azimuth(millisecond)     sigma_baseline(mm)     sigma_azimuth(millisecond)
2010.4973     0.00     0.00     3.1535     4.7560
2010.5000     -0.66     -3.69     3.7660     5.8067
2010.5027     -0.01     -2.08     4.0330     6.2410
2010.5055     1.88     0.86     4.0493     6.4049
2010.5082     5.52     0.17     3.8848     5.9662
2010.5110     2.61     -7.97     3.9011     6.0702
2010.5137     1.32     -1.09     3.7777     5.7586
2010.5164     -0.57     -1.48     3.3901     5.3027
2010.5192     -4.50     1.66     3.8846     5.9640
2010.5219     0.00     0.83     3.7601     5.8681
2010.5247     -0.00     -1.25     3.5370     5.5032
2010.5274     1.10     -2.75     3.3059     5.0422
2010.5301     0.50     -2.02     3.7507     5.7857
2010.5329     0.63     -4.21     3.8439     6.1407
2010.5356     -1.89     -7.17     3.7061     5.7442
2010.5384     -3.22     7.05     4.4990     7.0928
2010.5411     1.28     -0.93     4.2206     6.5852
2010.5438     -0.19     2.46     3.2410     5.0263
2010.5466     2.58     -1.92     3.5387     5.4165
2010.5493     -1.58     -2.92     3.5302     5.4868
2010.5521     -0.92     -2.63     3.5219     5.3970
2010.5548     -3.03     -3.41     3.4788     5.4882
2010.5575     -3.66     -1.73     3.8197     5.7971
2010.5603     -0.69     -1.01     3.8414     6.1228
2010.5630     0.87     -0.55     4.2137     6.8586
2010.5658     0.02     -1.77     3.5711     5.2452
2010.5685     -0.31     -0.01     4.1095     6.4123
2010.5712     -1.77     0.80     3.4597     5.3937
2010.5740     0.34     -2.64     3.5303     5.4851
2010.5767     2.04     -0.62     3.6215     5.6977
2010.5795     -1.05     3.38     3.5115     5.2335
2010.5822     -3.97     -5.95     4.0156     6.4248
2010.5849     -0.86     0.49     3.6713     5.6795
2010.5877     -1.20     0.61     4.1413     6.6891
2010.5904     -0.01     4.67     4.7033     7.4511
2010.5932     -2.68     -1.88     4.4050     6.8108
2010.5959     0.79     -0.23     4.4391     7.2399
2010.5986     -1.59     0.49     3.4733     5.5095
2010.6014     -2.53     -2.90     3.9671     6.1560
2010.6041     -0.83     -0.90     4.1096     6.4153
2010.6068     2.71     -7.53     4.8559     7.5709
2010.6096     1.94     -4.43     4.2671     6.7790
2010.6123     -3.15     -6.72     3.9065     6.2152
2010.6151     1.28     -6.41     3.7353     6.3175
2010.6178     -5.81     -2.38     3.9351     6.4774
2010.6205     -0.83     -3.00     3.7680     6.0316
2010.6233     -0.59     0.67     3.6860     5.7765
2010.6260     -2.31     -0.84     3.6637     6.1906
2010.6288     -1.09     0.17     3.1802     5.0141
2010.6315     -0.45     -1.98     3.9158     6.2279
2010.6342     -2.06     -0.15     4.1347     6.5354
2010.6370     2.26     -1.49     4.4409     7.1748
2010.6397     -0.96     0.48     3.4619     5.3943
2010.6425     0.56     6.16     3.9379     6.4378
2010.6452     1.57     3.40     4.3912     6.7922
2010.6479     -0.58     2.32     3.4629     5.3994
2010.6507     -1.56     3.76     3.5998     5.5824
2010.6534     -0.99     -1.07     3.3061     5.0407
2010.6562     1.02     0.55     3.7113     6.0330
2010.6589     0.08     -1.16     4.2066     6.6996
2010.6616     2.63     -2.14     3.3818     5.2132
2010.6644     0.55     0.73     4.0219     6.1460
2010.6671     -2.55     0.54     3.9371     6.4333
2010.6699     -0.05     -4.86     3.8451     6.2086
2010.6726     1.30     -4.40     3.3872     5.2175
2010.6753     -1.16     -5.89     3.3977     5.3850
2010.6781     -4.97     -3.63     4.2745     6.7201
2010.6808     2.98     -0.60     4.2799     6.6494
2010.6836     1.52     -2.32     3.9441     5.9654
2010.6863     0.96     -3.01     3.7876     6.1502
2010.6890     2.48     -0.67     3.7552     5.7083
2010.6918     3.16     5.86     4.2848     6.9530
2010.6945     -1.88     7.13     4.1065     6.3329
2010.6973     -4.00     -0.79     3.5397     5.4218
2010.7000     -3.74     -0.99     3.7409     5.7699
2010.7027     0.23     -0.09     3.6629     5.5903
2010.7055     -1.79     -0.41     3.2577     5.1408
2010.7082     -2.14     -6.17     3.4629     5.3994
2010.7110     0.17     -4.89     3.8896     6.0448
2010.7137     2.21     0.80     3.9092     6.1487
2010.7164     0.95     -2.54     3.9661     6.1535
2010.7192     3.47     1.66     4.3888     6.7224
2010.7219     -3.02     -1.35     6.0028     8.6298
2010.7247     0.67     1.09     4.0298     6.2324
2010.7274     0.20     -0.80     3.2490     5.1080
2010.7301     -1.10     -0.66     3.5401     5.4330
2010.7329     0.45     1.58     3.3103     5.1173
2010.7356     -0.33     -1.63     3.5218     5.4000
2010.7384     -5.13     0.37     3.5216     5.3970
2010.7411     0.35     4.51     3.5566     5.6051
2010.7438     0.80     -1.51     4.5277     6.8979
2010.7466     -1.34     -3.88     4.3475     6.9577
2010.7493     0.11     2.09     4.0325     6.2357
2010.7521     -2.86     1.81     3.6872     5.8447
2010.7548     -1.00     1.49     2.9763     4.8192
2010.7575     -1.03     0.78     3.1866     5.1003
2010.7603     -1.48     0.46     2.8881     4.5516
2010.7630     -1.35     0.78     3.1084     4.9213
2010.7658     -0.12     -2.89     3.6293     5.8544
2010.7685     -1.95     0.67     3.3975     5.3832
2010.7712     -1.16     1.70     3.6840     5.7674
2010.7740     -1.41     -2.34     3.6959     5.9355
2010.7767     -3.99     -2.08     4.0754     6.6011
2010.7795     -2.30     -2.98     3.6843     5.7674
2010.7822     -2.36     0.19     3.3983     5.3851
2010.7849     0.41     1.73     3.7342     5.6817
2010.7877     -1.23     0.29     3.4075     5.3163
2010.7904     -1.20     2.28     3.1819     5.0251
2010.7932     -0.75     -0.77     2.9592     4.6457
2010.7959     -1.54     -0.12     3.3222     5.2092
2010.7986     -0.78     1.88     2.9746     4.7422
2010.8014     0.38     0.59     3.0920     4.7515
2010.8041     -1.36     -0.44     3.4877     5.6547
2010.8068     0.41     -2.49     3.1614     4.8423
2010.8096     -0.85     -1.63     3.2241     4.8488
2010.8123     -1.01     -0.15     3.3137     5.1238
2010.8151     -4.26     0.25     4.4996     6.9634
2010.8178     -1.07     3.05     3.4679     5.4809
2010.8205     -0.25     -3.22     3.2661     5.2831
2010.8233     -0.66     -0.28     3.1184     4.8523
2010.8260     -1.70     0.08     2.7863     4.1119
2010.8288     0.00     -0.01     2.9512     4.5612
2010.8315     -2.14     -1.09     2.8747     4.3794
2010.8342     -1.51     1.84     3.0206     4.6536
2010.8370     -1.63     0.24     3.0915     4.7467
2010.8397     -1.51     1.83     3.3715     5.0472
2010.8425     -1.35     0.78     2.8755     4.3846
2010.8452     -1.79     -0.40     2.7309     4.1885
2010.8479     0.04     -1.42     3.0316     4.7393
2010.8507     -0.88     0.59     2.9509     4.5593
2010.8534     -3.24     -0.03     3.0044     4.4810
2010.8562     -1.70     0.50     3.1679     4.7907
2010.8589     -1.42     2.32     3.1532     4.7559
2010.8616     -2.43     -0.35     3.0755     4.5788
2010.8644     -2.49     1.57     3.0204     4.6536
2010.8671     -2.80     -2.23     3.2241     4.8488
2010.8699     -2.59     -0.99     3.2227     4.7756
2010.8726     -2.71     -3.45     3.4459     5.1431
2010.8753     -4.72     -2.53     3.3071     4.9708
2010.8781     0.19     0.10     3.1531     4.7543
2010.8808     -3.32     -0.59     3.4185     4.9611
2010.8836     -1.01     -1.40     3.0841     4.6632
2010.8863     -1.92     4.78     3.5218     5.3436
2010.8890     0.02     0.33     3.2970     4.9468
2010.8918     -1.07     -2.01     3.1483     4.6715
2010.8945     0.26     -6.94     3.1615     4.8440
2010.8973     -0.54     -2.47     3.2247     4.8535
2010.9000     -1.39     -2.42     2.9427     4.4745
2010.9027     -1.90     -1.65     3.0839     4.6634
2010.9055     -3.57     0.43     3.2387     4.9474
2010.9082     -4.13     -5.75     3.0894     4.6680
2010.9110     -3.97     -3.43     3.0835     4.6587
2010.9137     -4.29     -1.73     3.1642     4.8412
2010.9164     -1.21     -1.05     3.3056     5.0388
2010.9192     -0.11     -4.22     3.0120     4.5672
2010.9219     -0.89     -0.22     2.7256     4.1027
2010.9247     -2.52     -4.23     2.8751     4.3808
2010.9274     -1.71     -3.67     2.8589     4.2084
2010.9301     -1.65     -0.13     2.8091     4.2907
2010.9329     -1.90     -2.07     2.9593     4.6460
2010.9356     -1.74     -1.86     2.8744     4.3780
2010.9384     -2.01     2.17     3.0156     4.5680
2010.9411     -0.68     -1.50     3.3100     5.1173
2010.9438     -0.14     -4.09     3.6618     5.5873
2010.9466     -1.33     0.72     3.5989     5.5766
2010.9493     -0.74     0.02     3.2888     4.8574
2010.9521     -6.40     -4.63     3.5862     5.3350
2010.9548     -1.65     -2.22     3.6608     5.5153
2010.9575     -2.31     -2.09     2.6449     3.9217
2010.9603     -5.01     -8.10     3.0177     4.5009
2010.9630     -1.34     -1.38     2.8663     4.2913
2010.9658     -2.03     -2.39     2.9331     4.3056
2010.9685     2.07     1.81     3.0043     4.4795
2010.9712     -1.28     -4.57     3.0164     4.5730
2010.9740     -3.06     1.75     3.2409     5.0265
2010.9767     -2.11     2.56     3.1455     4.6730
2010.9795     -4.18     -6.81     3.0948     4.5952
2010.9822     -0.11     -1.68     3.2245     4.8520
2010.9849     -0.96     -1.64     2.5742     3.8274
2010.9877     -2.85     -6.27     2.7151     4.0191
2010.9904     -2.81     -8.51     2.8637     4.2922
2010.9932     -0.74     -2.92     2.8027     4.2864
2010.9959     -2.70     -4.35     2.9439     4.4835
2010.9986     -0.19     4.13     2.8670     4.2968
2011.0041     -1.50     -6.63     3.1567     4.7613
2011.0068     -2.12     -3.28     2.7279     4.1162
2011.0096     -1.25     0.38     2.5905     4.0013
2011.0123     -0.39     -0.52     2.7857     4.1104
2011.0151     -2.78     -2.73     2.5130     3.8226
2011.0178     -3.16     -5.42     2.8830     4.4641
2011.0205     -1.73     3.14     3.0895     4.6663
2011.0233     -2.03     1.01     3.1531     4.7543
2011.0534     -1.98     -0.05     2.5936     4.0037
2011.0562     -4.22     0.96     2.3719     3.6338
2011.0589     -1.17     5.11     2.7265     4.1096
2011.0616     -2.36     0.62     2.6536     4.0099
2011.0644     -4.22     0.52     2.5208     3.8351
2011.0671     -3.21     1.52     2.5937     4.0023
2011.0699     -1.35     -1.31     2.6022     4.0926
2011.0726     -6.10     -5.83     2.7309     4.1885
2011.0753     -3.93     -2.34     2.8800     4.4650
2011.0781     -1.04     -0.45     2.6700     4.1827
2011.0808     -1.99     3.37     2.6686     4.1025
2011.0836     -0.88     1.02     2.6454     3.9218
2011.0863     -2.90     0.27     2.7924     4.1168
2011.0890     -2.80     -3.92     2.5043     3.7318
2011.0918     -1.80     -3.75     2.7264     4.1111
2011.0945     -3.34     -0.91     2.5777     3.8298
2011.0973     -1.36     -2.55     2.5933     4.0010
2011.1000     -2.59     -1.41     2.6771     4.1927
2011.1027     -3.72     -0.23     2.6113     4.1833
2011.1055     -2.28     1.56     2.5984     4.0850
2011.1082     -1.93     2.68     2.6073     4.1731
2011.1110     -4.08     -1.75     2.8104     4.3748
2011.1137     -3.57     -5.90     2.6967     4.4536
2011.1164     -5.24     -3.84     2.9832     4.8248
2011.1192     -5.14     -2.52     2.7432     4.2826
2011.1219     -6.00     -0.36     2.6962     4.4481
2011.1247     -2.54     -2.46     2.7426     4.2769
2011.1274     -5.69     3.04     2.9680     4.7345
2011.1301     -2.12     -13.41     3.1006     4.8377
2011.1329     -5.03     0.38     3.1894     5.1042
2011.1356     -3.13     1.61     2.9595     4.6443
2011.1384     -2.91     -3.05     2.8272     4.5426
2011.1411     -1.72     4.38     2.6195     4.2659
2011.1438     -6.84     -6.24     2.9975     4.8555
2011.1466     -2.78     -4.41     2.9859     4.9082
2011.1493     -0.87     0.11     2.7649     4.5350
2011.1521     -2.79     1.93     3.1257     5.0973
2011.1548     -6.91     -6.82     3.1257     5.0930
2011.1575     -0.21     4.21     2.8275     4.5460
2011.1603     -0.01     -1.21     2.9929     4.9211
2011.1630     -0.93     -4.71     3.7129     6.0488
2011.1658     -3.27     4.70     3.7133     6.6515
2011.1685     -4.49     -0.94     3.6290     5.8522
2011.1712     -5.22     -2.63     3.2663     5.2832
2011.1740     -6.66     -11.17     3.3921     5.8991
2011.1767     -5.24     -3.81     3.2158     5.3604
2011.1795     -8.17     -2.15     3.4344     6.0912
2011.1822     -5.94     -2.69     3.6068     6.1922
2011.1849     -5.00     1.14     3.4566     5.9104
2011.1877     -4.77     -4.44     2.9482     5.0224
2011.1932     -6.75     -8.72     3.4521     5.9137
2011.1959     -3.67     -2.56     3.0754     5.1749
2011.1986     -0.73     -6.75     4.6149     8.8758
2011.2014     -2.45     -0.29     2.8542     4.8048
2011.2041     -3.01     -0.12     2.8549     4.8130
2011.2096     -3.29     -2.36     2.6854     4.2768
2011.2123     -4.11     -2.89     3.1322     5.1056
2011.2151     -6.76     3.55     3.2751     5.3713
2011.2178     -1.84     0.66     3.3356     5.3768
2011.2205     -7.96     -1.33     3.4244     5.6471
2011.2233     -4.45     0.18     3.2574     5.1965
2011.2260     -3.17     -2.86     3.2840     5.4629
2011.2288     -3.26     -2.08     3.5471     5.6602
2011.2315     -4.74     0.08     2.9766     4.8193
2011.2342     -2.22     -1.61     2.8360     4.6293
2011.2370     -4.77     -0.64     2.9851     4.9046
2011.2397     -4.08     -0.89     3.0574     4.9975
2011.2425     -3.51     -1.49     2.7231     4.7055
2011.2452     -3.29     -3.63     2.9089     4.7273
2011.2479     -3.74     -2.27     3.1748     5.4111
2011.2507     -4.08     -3.43     2.9766     4.8192
2011.2534     -4.39     0.35     2.8046     4.8873
2011.2562     -3.74     -3.94     3.1525     5.3558
2011.2589     -3.94     -8.61     2.9774     4.8280
2011.2616     -4.41     2.95     3.6285     6.8792
2011.2644     -2.00     -3.79     3.5923     6.1021
2011.2671     -1.30     2.25     4.9960     8.6259
2011.2699     -5.85     1.58     3.8805     6.5580
2011.2726     -6.45     -1.48     3.1353     5.1887
2011.2753     -5.02     -6.38     3.2837     5.4569
2011.2781     0.23     -0.52     3.8547     6.2978
2011.2808     -3.01     -4.33     3.0398     4.8256
2011.2836     -4.64     -5.79     3.3715     5.7272
2011.2863     -1.30     -3.19     3.3709     5.7233
2011.2890     -3.19     3.55     3.4717     5.4951
2011.2918     -1.46     -0.02     3.7228     6.1972
2011.2945     -3.54     -4.31     3.2068     5.2780
2011.2973     -3.36     -5.91     3.2845     5.4608
2011.3000     -3.51     -2.77     3.2632     5.2004
2011.3027     -2.69     -3.52     3.4849     5.6526
2011.3055     -5.16     -4.57     3.8457     6.4496
2011.3082     -3.61     -0.68     3.0638     5.0890
2011.3110     -3.93     -3.61     3.1004     4.8396
2011.3137     -2.63     -5.03     2.9448     5.0737
2011.3164     -2.54     -3.29     3.0638     5.0890
2011.3192     -3.14     -1.28     3.9347     6.4767
2011.3219     -4.49     -1.33     3.1168     5.0063
2011.3247     -2.15     7.81     4.0027     6.5706
2011.3274     -4.66     -1.95     3.5624     5.7653
2011.3301     -3.58     3.43     3.6664     6.2169
2011.3329     -3.54     -5.16     3.3507     6.0819
2011.3356     -0.43     -3.34     4.0687     6.7904
2011.3384     -0.81     -4.77     3.7957     6.2268
2011.3411     -1.97     -2.19     3.6533     6.0249
2011.3438     -5.89     2.99     3.6372     5.9335
2011.3466     -0.91     -1.42     3.6031     5.5875
2011.3493     -5.37     -5.82     3.8771     6.4761
2011.3521     -2.60     -3.04     4.2347     7.0356
2011.3548     -2.35     -1.94     3.4148     5.5567
2011.3603     -4.71     6.29     5.0426     8.2361
2011.3630     -2.57     -6.10     3.4593     5.3926
2011.3658     -5.59     -7.03     3.4851     5.4276
2011.3685     -3.80     -4.54     3.6024     5.5074
2011.3712     -4.53     -4.15     3.2855     5.1571
2011.3740     -3.58     -1.62     3.1766     4.8855
2011.3767     -5.86     -0.07     3.5302     5.4870
2011.3795     -9.35     -4.18     3.9740     6.2350
2011.3822     -4.94     -2.50     3.7959     6.2302
2011.3849     -3.77     -1.70     3.9508     6.4577
2011.3877     -4.31     0.05     4.1142     6.8740
2011.3904     -3.71     -6.18     3.5730     5.7680
2011.3959     -3.78     -4.21     3.0236     4.6564
2011.3986     -5.05     -0.39     3.0377     4.8268
2011.4014     -4.35     -0.22     3.2461     5.0289
2011.4041     -4.76     -4.92     3.4616     5.3912
2011.4068     -7.84     -0.53     3.4871     5.6510
2011.4096     -7.65     -2.97     3.1864     5.1002
2011.4123     -0.47     -6.53     3.7754     6.1219
2011.4151     -4.89     -3.98     3.3313     5.3051
2011.4178     -6.14     -5.28     3.5438     5.5772
2011.4205     -2.99     -1.50     3.6304     5.7910
2011.4233     -5.12     -5.56     3.5056     5.8301
2011.4260     -3.56     -3.00     3.5386     5.5736
2011.4288     -4.03     -4.47     3.2663     5.2831
2011.4315     -6.02     -1.96     3.9372     6.1677
2011.4342     -0.15     -1.50     3.5959     5.5086
2011.4370     -1.92     -3.68     3.2560     5.1237
2011.4397     -5.86     -2.61     3.5496     5.3724
2011.4425     -8.04     -3.54     3.5914     5.4945
2011.4479     -7.56     -7.98     3.6465     5.4167
