#YYYY.DECM     baseline(mm)     azimuth(millisecond)     sigma_baseline(mm)     sigma_azimuth(millisecond)
2010.4973     1.26     5.74     3.1535     4.7560
2010.5000     0.62     2.06     3.7660     5.8067
2010.5027     1.27     3.67     4.0330     6.2410
2010.5055     3.18     6.61     4.0493     6.4049
2010.5082     6.82     5.93     3.8848     5.9662
2010.5110     3.92     -2.20     3.9011     6.0702
2010.5137     2.64     4.68     3.7777     5.7586
2010.5164     0.76     4.29     3.3901     5.3027
2010.5192     -3.16     7.43     3.8846     5.9640
2010.5219     1.36     6.61     3.7601     5.8681
2010.5247     1.36     4.54     3.5370     5.5032
2010.5274     2.48     3.04     3.3059     5.0422
2010.5301     1.88     3.77     3.7507     5.7857
2010.5329     2.02     1.59     3.8439     6.1407
2010.5356     -0.49     -1.36     3.7061     5.7442
2010.5384     -1.81     12.86     4.4990     7.0928
2010.5411     2.70     4.88     4.2206     6.5852
2010.5438     1.24     8.27     3.2410     5.0263
2010.5466     4.02     3.90     3.5387     5.4165
2010.5493     -0.13     2.90     3.5302     5.4868
2010.5521     0.54     3.20     3.5219     5.3970
2010.5548     -1.56     2.42     3.4788     5.4882
2010.5575     -2.18     4.11     3.8197     5.7971
2010.5603     0.80     4.84     3.8414     6.1228
2010.5630     2.37     5.30     4.2137     6.8586
2010.5658     1.53     4.08     3.5711     5.2452
2010.5685     1.21     5.85     4.1095     6.4123
2010.5712     -0.24     6.66     3.4597     5.3937
2010.5740     1.89     3.23     3.5303     5.4851
2010.5767     3.59     5.26     3.6215     5.6977
2010.5795     0.51     9.26     3.5115     5.2335
2010.5822     -2.40     -0.07     4.0156     6.4248
2010.5849     0.73     6.37     3.6713     5.6795
2010.5877     0.39     6.50     4.1413     6.6891
2010.5904     1.59     10.57     4.7033     7.4511
2010.5932     -1.07     4.02     4.4050     6.8108
2010.5959     2.41     5.67     4.4391     7.2399
2010.5986     0.04     6.39     3.4733     5.5095
2010.6014     -0.89     3.01     3.9671     6.1560
2010.6041     0.83     5.02     4.1096     6.4153
2010.6068     4.37     -1.61     4.8559     7.5709
2010.6096     3.61     1.50     4.2671     6.7790
2010.6123     -1.47     -0.79     3.9065     6.2152
2010.6151     2.97     -0.48     3.7353     6.3175
2010.6178     -4.10     3.56     3.9351     6.4774
2010.6205     0.89     2.95     3.7680     6.0316
2010.6233     1.14     6.62     3.6860     5.7765
2010.6260     -0.58     5.12     3.6637     6.1906
2010.6288     0.65     6.13     3.1802     5.0141
2010.6315     1.30     3.99     3.9158     6.2279
2010.6342     -0.30     5.82     4.1347     6.5354
2010.6370     4.03     4.48     4.4409     7.1748
2010.6397     0.82     6.46     3.4619     5.3943
2010.6425     2.36     12.14     3.9379     6.4378
2010.6452     3.37     9.39     4.3912     6.7922
2010.6479     1.24     8.31     3.4629     5.3994
2010.6507     0.26     9.75     3.5998     5.5824
2010.6534     0.84     4.93     3.3061     5.0407
2010.6562     2.86     6.56     3.7113     6.0330
2010.6589     1.93     4.85     4.2066     6.6996
2010.6616     4.49     3.87     3.3818     5.2132
2010.6644     2.43     6.75     4.0219     6.1460
2010.6671     -0.66     6.56     3.9371     6.4333
2010.6699     1.85     1.16     3.8451     6.2086
2010.6726     3.21     1.63     3.3872     5.2175
2010.6753     0.76     0.15     3.3977     5.3850
2010.6781     -3.05     2.42     4.2745     6.7201
2010.6808     4.92     5.45     4.2799     6.6494
