#YYYY.DECM     baseline(mm)     azimuth(millisecond)     sigma_baseline(mm)     sigma_azimuth(millisecond)
2010.9164     0.00     0.00     2.5031     4.2165
2010.9192     1.72     -0.19     2.4579     4.0513
2010.9219     5.00     -13.86     2.7257     4.4737
2010.9247     -4.23     -3.02     2.5910     4.3055
2010.9274     -0.52     -2.96     2.4560     4.2161
2010.9301     -5.31     -2.12     2.5460     4.2182
2010.9329     -7.82     -0.59     2.5919     4.2197
2010.9356     -13.89     4.89     2.5925     4.3056
2010.9384     12.31     -13.58     2.6382     4.3069
2010.9411     21.41     -28.43     3.4098     5.5025
2010.9438     12.49     -4.82     3.6750     6.1678
2010.9466     21.90     -13.74     2.9500     4.7295
2010.9493     0.32     -1.82     2.6368     4.3881
2010.9521     8.37     1.84     2.9500     4.7302
2010.9548     -0.92     0.36     2.5914     4.3861
2010.9575     6.47     -1.79     2.5045     4.2168
2010.9603     -0.90     -5.31     2.7287     4.7237
2010.9630     5.10     -10.62     2.4574     4.2148
2010.9658     7.32     -7.48     2.5463     4.2182
2010.9685     6.60     -2.33     2.4565     4.0513
2010.9712     1.60     0.54     2.4574     4.2156
2010.9740     18.86     -11.57     2.5516     4.1435
2010.9767     21.39     -18.40     2.8640     4.8910
2010.9795     16.99     -12.36     2.5042     4.1415
2010.9822     3.27     -3.83     2.4588     4.2158
2010.9849     -9.10     10.68     2.2802     3.8820
2010.9877     -5.40     1.46     2.4151     4.1390
2010.9904     -6.66     5.35     2.5028     4.1415
2010.9932     1.86     -0.54     2.2347     3.7946
2010.9959     9.14     -4.24     2.3691     3.9661
2010.9986     26.94     -12.06     2.5531     4.3976
2011.0014     -0.77     19.53     2.6617     4.4979
2011.0041     5.13     -4.55     2.5042     4.1415
2011.0068     2.05     -2.01     2.3697     4.0480
2011.0096     -0.35     4.47     2.3675     3.8855
2011.0123     2.07     -7.12     2.4164     4.1390
2011.0151     10.19     -12.72     4.1700     6.2189
2011.0178     25.65     -30.34     2.5028     4.1409
2011.0205     19.85     -19.49     2.3301     3.9771
2011.0233     12.81     1.87     2.5525     4.3044
2011.0534     3.41     -2.85     2.2788     3.6312
2011.0562     20.65     -25.95     2.5042     4.1411
2011.0589     27.09     -28.88     2.6902     4.4007
2011.0616     29.87     -23.54     2.5214     4.0824
2011.0644     32.50     -22.20     2.6382     4.3069
2011.0671     26.38     -18.81     2.4376     3.9270
2011.0699     16.36     -2.45     2.3305     3.8207
2011.0726     8.84     -3.93     2.6388     4.1456
2011.0753     18.11     -17.04     2.4168     3.9799
2011.0781     15.17     -12.00     2.4661     3.9811
2011.0808     25.08     -16.26     2.5020     3.9822
2011.0836     9.16     3.72     2.3313     3.9766
2011.0863     4.47     -0.15     2.2441     3.6629
2011.0890     3.76     1.59     2.2788     3.6312
2011.0918     3.87     -0.28     2.1923     3.5604
2011.0945     4.66     0.08     2.1929     3.4660
2011.0973     2.53     0.37     2.2788     3.6307
2011.1000     3.18     -2.14     2.2794     3.7218
2011.1027     5.41     1.00     2.2780     3.4688
2011.1055     20.14     -11.09     2.5201     4.0823
2011.1082     10.82     -13.34     2.6378     4.1456
2011.1110     1.71     -0.95     2.5916     4.1441
2011.1137     20.19     -18.47     2.7255     4.1477
2011.1164     0.27     -2.21     2.5911     4.0547
2011.1192     4.28     -1.90     2.2800     3.6309
2011.1219     2.64     3.42     2.8586     4.1527
2011.1247     16.61     -20.40     3.1013     4.9235
2011.1274     24.34     -30.06     3.1005     4.7674
2011.1301     1.69     12.49     2.9968     4.6642
2011.1329     13.41     -7.84     2.8549     4.4572
2011.1356     16.83     -15.80     2.6888     4.1470
2011.1384     14.85     -9.99     2.3816     3.8217
2011.1411     15.94     -12.97     2.5187     3.8255
2011.1438     6.88     8.71     2.8604     4.3136
2011.1466     1.84     -1.68     2.5896     4.0542
2011.1493     12.81     -15.93     2.5508     3.9837
2011.1521     13.98     -0.52     2.7676     4.2250
2011.1548     15.42     -11.38     2.9929     4.9802
2011.1575     14.26     -18.45     2.8572     4.2280
2011.1603     6.64     -7.44     2.5006     3.7283
2011.1630     11.92     -10.25     3.2219     4.7426
2011.1658     12.08     -12.68     3.4100     4.5804
2011.1685     14.31     -12.76     2.8581     4.0642
2011.1712     12.79     -18.96     3.1735     4.8180
2011.1740     22.79     -9.56     3.3922     4.6591
2011.1767     5.07     -1.54     2.7668     4.0603
2011.1795     3.15     -1.58     2.9467     4.4084
2011.1822     31.48     -18.45     3.0368     4.5705
2011.1849     22.90     -5.18     3.0359     4.7328
2011.1877     26.32     -0.07     3.0360     4.4114
2011.1932     10.37     13.84     3.0367     4.4825
2011.1959     17.33     -25.73     3.3050     4.8327
2011.1986     13.68     -12.33     5.7528     5.9363
2011.2014     6.90     -3.78     3.0799     4.4833
2011.2041     3.84     -1.62     2.7680     3.8976
2011.2068     5.18     -0.18     2.5446     3.8904
2011.2096     1.17     7.83     2.5020     3.9816
2011.2123     21.12     -15.23     3.1168     4.5770
2011.2151     47.67     -26.24     4.0521     6.0864
2011.2178     33.38     2.81     3.4613     5.1899
2011.2205     29.47     -21.73     3.2181     4.8299
2011.2233     18.45     -28.71     3.1702     4.8290
2011.2260     25.09     -27.81     3.2204     4.9275
2011.2288     14.55     -5.32     2.8132     4.4761
2011.2315     5.72     0.88     2.9895     4.3174
2011.2342     7.09     1.56     2.6370     4.0561
2011.2370     4.20     -0.78     2.6349     3.9736
2011.2397     3.92     -2.36     2.6336     4.0560
