#YYYY.DECM     baseline(mm)     azimuth(millisecond)     sigma_baseline(mm)     sigma_azimuth(millisecond)
2010.9164     -7.49     2.87     2.5031     4.2165
2010.9192     -5.78     2.68     2.4579     4.0513
2010.9219     -2.51     -11.00     2.7257     4.4737
2010.9247     -11.74     -0.15     2.5910     4.3055
2010.9274     -8.04     -0.09     2.4560     4.2161
2010.9301     -12.83     0.75     2.5460     4.2182
2010.9329     -15.36     2.27     2.5919     4.2197
2010.9356     -21.43     7.75     2.5925     4.3056
2010.9384     4.77     -10.72     2.6382     4.3069
2010.9411     13.86     -25.57     3.4098     5.5025
2010.9438     4.93     -1.97     3.6750     6.1678
2010.9466     14.33     -10.88     2.9500     4.7295
2010.9493     -7.25     1.03     2.6368     4.3881
2010.9521     0.79     4.69     2.9500     4.7302
2010.9548     -8.51     3.21     2.5914     4.3861
2010.9575     -1.12     1.05     2.5045     4.2168
2010.9603     -8.50     -2.47     2.7287     4.7237
2010.9630     -2.51     -7.78     2.4574     4.2148
2010.9658     -0.30     -4.64     2.5463     4.2182
2010.9685     -1.02     0.51     2.4565     4.0513
2010.9712     -6.03     3.38     2.4574     4.2156
2010.9740     11.23     -8.73     2.5516     4.1435
2010.9767     13.75     -15.56     2.8640     4.8910
2010.9795     9.34     -9.52     2.5042     4.1415
2010.9822     -4.38     -0.99     2.4588     4.2158
2010.9849     -16.76     13.52     2.2802     3.8820
2010.9877     -13.07     4.29     2.4151     4.1390
2010.9904     -14.33     8.18     2.5028     4.1415
2010.9932     -5.82     2.29     2.2347     3.7946
2010.9959     1.46     -1.41     2.3691     3.9661
2010.9986     19.25     -9.23     2.5531     4.3976
2011.0014     -8.47     22.35     2.6617     4.4979
2011.0041     -2.57     -1.73     2.5042     4.1415
2011.0068     -5.66     0.81     2.3697     4.0480
2011.0096     -8.07     7.29     2.3675     3.8855
2011.0123     -5.65     -4.30     2.4164     4.1390
2011.0151     2.45     -9.90     4.1700     6.2189
2011.0178     17.91     -27.52     2.5028     4.1409
2011.0205     12.10     -16.68     2.3301     3.9771
2011.0233     5.06     4.69     2.5525     4.3044
2011.0534     -4.41     -0.05     2.2788     3.6312
2011.0562     12.81     -23.15     2.5042     4.1411
2011.0589     19.25     -26.09     2.6902     4.4007
2011.0616     22.02     -20.75     2.5214     4.0824
2011.0644     24.65     -19.41     2.6382     4.3069
2011.0671     18.52     -16.03     2.4376     3.9270
2011.0699     8.50     0.33     2.3305     3.8207
2011.0726     0.97     -1.14     2.6388     4.1456
2011.0753     10.23     -14.25     2.4168     3.9799
2011.0781     7.28     -9.22     2.4661     3.9811
2011.0808     17.19     -13.48     2.5020     3.9822
2011.0836     1.26     6.50     2.3313     3.9766
2011.0863     -3.43     2.62     2.2441     3.6629
2011.0890     -4.15     4.36     2.2788     3.6312
2011.0918     -4.04     2.49     2.1923     3.5604
2011.0945     -3.26     2.85     2.1929     3.4660
2011.0973     -5.40     3.14     2.2788     3.6307
2011.1000     -4.75     0.63     2.2794     3.7218
2011.1027     -2.53     3.77     2.2780     3.4688
2011.1055     12.19     -8.33     2.5201     4.0823
2011.1082     2.86     -10.57     2.6378     4.1456
2011.1110     -6.25     1.81     2.5916     4.1441
2011.1137     12.22     -15.71     2.7255     4.1477
2011.1164     -7.71     0.55     2.5911     4.0547
2011.1192     -3.71     0.86     2.2800     3.6309
2011.1219     -5.34     6.18     2.8586     4.1527
2011.1247     8.61     -17.64     3.1013     4.9235
2011.1274     16.34     -27.30     3.1005     4.7674
2011.1301     -6.32     15.25     2.9968     4.6642
2011.1329     5.40     -5.09     2.8549     4.4572
2011.1356     8.81     -13.05     2.6888     4.1470
2011.1384     6.83     -7.24     2.3816     3.8217
2011.1411     7.91     -10.22     2.5187     3.8255
2011.1438     -1.16     11.46     2.8604     4.3136
2011.1466     -6.20     1.07     2.5896     4.0542
2011.1493     4.76     -13.19     2.5508     3.9837
2011.1521     5.92     2.22     2.7676     4.2250
2011.1548     7.35     -8.64     2.9929     4.9802
2011.1575     6.19     -15.71     2.8572     4.2280
2011.1603     -1.44     -4.71     2.5006     3.7283
2011.1630     3.84     -7.52     3.2219     4.7426
2011.1658     3.99     -9.95     3.4100     4.5804
2011.1685     6.21     -10.03     2.8581     4.0642
2011.1712     4.69     -16.23     3.1735     4.8180
2011.1740     14.68     -6.84     3.3922     4.6591
2011.1767     -3.05     1.19     2.7668     4.0603
2011.1795     -4.97     1.15     2.9467     4.4084
2011.1822     23.35     -15.72     3.0368     4.5705
2011.1849     14.76     -2.46     3.0359     4.7328
2011.1877     18.18     2.65     3.0360     4.4114
2011.1932     2.21     16.55     3.0367     4.4825
2011.1959     9.16     -23.01     3.3050     4.8327
2011.1986     5.51     -9.61     5.7528     5.9363
2011.2014     -1.28     -1.07     3.0799     4.4833
2011.2041     -4.34     1.10     2.7680     3.8976
2011.2068     -3.01     2.53     2.5446     3.8904
2011.2096     -7.03     10.54     2.5020     3.9816
2011.2123     12.92     -12.53     3.1168     4.5770
2011.2151     39.46     -23.54     4.0521     6.0864
2011.2178     25.16     5.51     3.4613     5.1899
2011.2205     21.24     -19.03     3.2181     4.8299
2011.2233     10.21     -26.00     3.1702     4.8290
2011.2260     16.85     -25.11     3.2204     4.9275
2011.2288     6.30     -2.62     2.8132     4.4761
2011.2315     -2.53     3.58     2.9895     4.3174
2011.2342     -1.17     4.26     2.6370     4.0561
2011.2370     -4.06     1.91     2.6349     3.9736
2011.2397     -4.36     0.33     2.6336     4.0560
2011.2425     -2.15     -2.97     2.7233     3.9892
2011.2452     -7.59     -1.33     2.6374     4.1451
2011.2479     -3.22     1.15     3.1234     4.5740
2011.2507     -2.97     6.89     2.9014     4.4782
2011.2534     -7.12     2.19     2.6784     4.1474
2011.2562     -7.94     12.04     3.0799     4.4840
2011.2589     -9.70     -6.72     2.9483     4.4083
2011.2616     2.70     -17.43     3.4366     4.7463
2011.2644     -2.75     -10.49     3.2168     4.5772
2011.2671     2.76     -15.34     3.3911     4.7443
2011.2699     -1.80     -16.53     2.8606     4.2489
2011.2726     -0.29     -9.76     2.6356     3.9862
2011.2753     -5.17     5.27     2.9973     4.5700
2011.2781     0.37     2.13     2.9014     4.4789
2011.2808     -0.30     5.01     2.6807     4.3084
2011.2836     -7.14     -0.47     2.9002     4.3151
2011.2863     -10.90     6.66     3.1242     4.7356
2011.2890     -1.69     -0.79     3.3473     5.0716
2011.2918     -3.49     -1.18     3.3546     4.9919
2011.2945     -5.57     1.58     2.5014     4.1413
2011.2973     -2.73     -0.63     3.1709     4.6516
2011.3000     -6.37     4.44     2.8614     4.4061
2011.3027     -8.21     8.38     2.9962     4.6647
2011.3055     -0.83     0.73     2.9921     4.4817
2011.3082     -2.32     0.59     3.1317     4.6503
2011.3110     -2.27     1.17     2.9031     4.4782
2011.3137     -0.95     4.30     3.0799     4.4844
2011.3164     -2.35     -1.12     3.4120     4.9929
2011.3192     -1.72     1.86     3.2139     4.9017
2011.3219     -2.27     4.39     2.5889     3.9849
2011.3247     -4.35     1.66     3.0781     4.4839
2011.3274     -2.29     1.16     2.8586     4.4768
2011.3301     -12.48     -0.13     3.4378     4.9972
2011.3329     -11.97     10.59     3.3931     5.1576
2011.3356     -10.69     4.43     3.4864     5.4087
2011.3384     -3.85     3.09     3.1336     4.6503
2011.3411     -4.95     4.56     3.0825     4.6489
2011.3438     -1.88     2.01     2.7668     4.0603
2011.3466     -3.22     2.48     2.8602     4.4769
2011.3493     -3.78     -3.33     3.3942     5.0723
2011.3521     0.94     6.80     3.4860     5.3341
2011.3548     -3.09     3.45     3.1735     4.8178
2011.3575     2.18     -4.29     4.8712     7.6525
2011.3630     -6.21     4.47     3.3959     5.4059
2011.3658     -0.74     3.97     3.0816     4.8148
2011.3685     -1.16     4.44     3.0838     4.8969
