#YYYY.DECM     baseline(mm)     azimuth(millisecond)     sigma_baseline(mm)     sigma_azimuth(millisecond)
2010.4973     0.00     0.00     4.5576     5.4985
2010.5000     1.88     2.99     4.4697     5.3885
2010.5027     4.91     -0.52     4.8435     5.7833
2010.5055     0.53     1.02     4.7206     5.6158
2010.5082     -1.61     0.79     4.5223     5.4513
2010.5110     0.78     2.11     4.3932     5.2507
2010.5137     -1.80     0.05     4.3928     5.2982
2010.5164     -0.66     2.45     4.2211     5.0623
2010.5192     1.38     1.70     4.1972     5.0494
2010.5219     -0.73     -0.43     4.3844     5.3098
2010.5247     -1.16     0.27     4.3608     5.2339
2010.5274     -0.64     1.27     4.6836     5.5380
2010.5301     0.64     2.89     4.5958     5.5275
2010.5329     4.70     3.32     4.9608     5.8825
2010.5356     0.38     3.42     4.6753     5.4669
2010.5384     2.93     1.01     5.1107     6.0389
2010.5411     -1.03     2.74     4.9735     5.8667
2010.5438     -0.76     3.10     4.3231     5.2769
2010.5466     -0.36     3.27     4.4708     5.4188
2010.5493     0.36     5.34     4.2921     5.1963
2010.5521     1.69     2.99     4.5147     5.4844
2010.5548     -1.95     1.56     4.7107     5.7658
2010.5575     -0.58     5.77     4.4478     5.4756
2010.5603     1.86     -1.03     4.6316     5.5721
2010.5630     -1.60     4.81     5.3008     6.3426
2010.5658     -1.53     5.31     4.1397     5.1819
2010.5685     -1.44     -0.41     4.6601     5.6234
2010.5712     -0.87     3.17     4.9029     6.0024
2010.5740     -2.77     6.10     4.8332     5.9017
2010.5767     -0.49     5.85     5.0307     6.1043
2010.5795     -0.68     5.55     4.8715     5.9713
2010.5822     1.14     4.48     5.6897     6.6069
2010.5849     3.04     4.81     4.5326     5.5830
2010.5877     -0.88     4.50     4.7120     5.6751
2010.5904     2.10     8.21     4.9539     5.9039
2010.5932     -5.32     6.29     5.0934     6.2878
2010.5959     -1.59     4.82     4.8021     5.8593
2010.5986     -0.63     1.28     5.0305     6.0940
2010.6014     0.04     5.83     5.0695     6.2155
2010.6041     -4.25     3.28     5.3836     6.5214
2010.6068     6.06     6.04     4.9000     6.0096
2010.6096     0.03     4.19     5.2451     6.4205
2010.6123     0.36     6.53     4.9653     6.0069
2010.6151     1.11     2.82     4.9372     5.9548
2010.6178     0.02     1.21     5.6749     6.7049
2010.6205     -0.80     2.63     4.8127     5.7798
2010.6233     -3.17     2.81     5.1534     6.2418
2010.6260     0.53     5.33     5.1127     6.1978
2010.6288     0.37     3.12     5.0998     6.1517
2010.6315     0.12     5.00     4.9136     6.0425
2010.6342     1.03     5.13     4.3962     5.4138
2010.6370     1.69     4.92     4.2968     5.2628
2010.6397     3.04     6.00     4.1144     5.1358
2010.6425     3.26     7.66     4.4965     5.4653
2010.6452     3.15     7.87     4.7437     5.8538
2010.6479     0.51     6.95     4.5541     5.4968
2010.6507     5.17     3.69     4.6697     5.7535
2010.6534     0.46     6.16     4.3618     5.3292
2010.6562     2.19     6.51     4.3225     5.2765
2010.6589     4.88     7.03     4.6834     5.6974
2010.6616     0.52     3.54     4.6737     5.6678
2010.6644     3.95     3.75     4.8867     5.9189
2010.6671     0.19     5.79     4.9468     5.9926
2010.6699     1.81     5.61     4.8928     5.9341
2010.6726     3.69     6.82     4.7293     5.7841
2010.6753     0.71     4.13     4.6795     5.7238
2010.6781     1.34     6.57     4.7165     5.7430
2010.6808     0.82     5.71     4.5847     5.6465
2010.6836     1.37     5.85     4.4684     5.4861
2010.6863     -0.13     6.88     4.6810     5.6963
2010.6890     1.90     2.71     4.3599     5.3944
2010.6918     4.36     2.30     4.7827     5.8481
2010.6945     0.36     5.93     4.6317     5.6668
2010.6973     2.06     5.21     4.4580     5.4452
2010.7000     1.63     6.95     4.4576     5.5090
2010.7027     0.68     6.49     4.7689     5.8342
2010.7055     2.31     7.05     4.6290     5.6659
2010.7082     1.62     8.58     4.5079     5.5355
2010.7110     0.90     3.99     4.8539     5.9132
2010.7137     2.59     6.23     4.8966     5.8474
2010.7164     3.54     5.81     4.4742     5.5529
2010.7192     1.26     5.76     4.6186     5.6911
2010.7219     0.29     6.32     5.3125     6.6647
