#YYYY.DECM     baseline(mm)     azimuth(millisecond)     sigma_baseline(mm)     sigma_azimuth(millisecond)
2010.4973     -1.34     -1.37     4.5576     5.4985
2010.5000     0.52     1.60     4.4697     5.3885
2010.5027     3.54     -1.93     4.8435     5.7833
2010.5055     -0.86     -0.41     4.7206     5.6158
2010.5082     -3.01     -0.65     4.5223     5.4513
2010.5110     -0.64     0.65     4.3932     5.2507
2010.5137     -3.23     -1.44     4.3928     5.2982
2010.5164     -2.11     0.94     4.2211     5.0623
2010.5192     -0.10     0.17     4.1972     5.0494
2010.5219     -2.22     -1.98     4.3844     5.3098
2010.5247     -2.66     -1.30     4.3608     5.2339
2010.5274     -2.16     -0.31     4.6836     5.5380
2010.5301     -0.90     1.28     4.5958     5.5275
2010.5329     3.15     1.70     4.9608     5.8825
2010.5356     -1.20     1.78     4.6753     5.4669
2010.5384     1.34     -0.66     5.1107     6.0389
2010.5411     -2.63     1.06     4.9735     5.8667
2010.5438     -2.38     1.40     4.3231     5.2769
2010.5466     -2.00     1.55     4.4708     5.4188
2010.5493     -1.29     3.60     4.2921     5.1963
2010.5521     0.02     1.23     4.5147     5.4844
2010.5548     -3.64     -0.22     4.7107     5.7658
2010.5575     -2.29     3.97     4.4478     5.4756
2010.5603     0.14     -2.85     4.6316     5.5721
2010.5630     -3.34     2.97     5.3008     6.3426
2010.5658     -3.29     3.45     4.1397     5.1819
2010.5685     -3.22     -2.29     4.6601     5.6234
2010.5712     -2.66     1.27     4.9029     6.0024
2010.5740     -4.57     4.19     4.8332     5.9017
2010.5767     -2.31     3.91     5.0307     6.1043
2010.5795     -2.52     3.59     4.8715     5.9713
2010.5822     -0.71     2.51     5.6897     6.6069
2010.5849     1.17     2.82     4.5326     5.5830
2010.5877     -2.76     2.49     4.7120     5.6751
2010.5904     0.19     6.18     4.9539     5.9039
2010.5932     -7.24     4.24     5.0934     6.2878
2010.5959     -3.52     2.75     4.8021     5.8593
2010.5986     -2.59     -0.81     5.0305     6.0940
2010.6014     -1.93     3.71     5.0695     6.2155
2010.6041     -6.24     1.15     5.3836     6.5214
2010.6068     4.06     3.89     4.9000     6.0096
2010.6096     -1.99     2.02     5.2451     6.4205
2010.6123     -1.68     4.34     4.9653     6.0069
2010.6151     -0.94     0.61     4.9372     5.9548
2010.6178     -2.05     -1.02     5.6749     6.7049
2010.6205     -2.89     0.38     4.8127     5.7798
2010.6233     -5.27     0.55     5.1534     6.2418
2010.6260     -1.59     3.04     5.1127     6.1978
2010.6288     -1.77     0.81     5.0998     6.1517
2010.6315     -2.03     2.68     4.9136     6.0425
2010.6342     -1.14     2.79     4.3962     5.4138
2010.6370     -0.49     2.56     4.2968     5.2628
2010.6397     0.84     3.62     4.1144     5.1358
2010.6425     1.04     5.26     4.4965     5.4653
2010.6452     0.91     5.45     4.7437     5.8538
2010.6479     -1.74     4.51     4.5541     5.4968
2010.6507     2.89     1.23     4.6697     5.7535
2010.6534     -1.83     3.68     4.3618     5.3292
2010.6562     -0.12     4.00     4.3225     5.2765
2010.6589     2.56     4.51     4.6834     5.6974
2010.6616     -1.82     0.99     4.6737     5.6678
2010.6644     1.59     1.19     4.8867     5.9189
2010.6671     -2.18     3.21     4.9468     5.9926
2010.6699     -0.58     3.01     4.8928     5.9341
2010.6726     1.28     4.20     4.7293     5.7841
2010.6753     -1.71     1.49     4.6795     5.7238
2010.6781     -1.10     3.91     4.7165     5.7430
2010.6808     -1.63     3.03     4.5847     5.6465
2010.6836     -1.10     3.15     4.4684     5.4861
2010.6863     -2.62     4.16     4.6810     5.6963
2010.6890     -0.61     -0.03     4.3599     5.3944
2010.6918     1.84     -0.46     4.7827     5.8481
2010.6945     -2.18     3.15     4.6317     5.6668
2010.6973     -0.50     2.42     4.4580     5.4452
2010.7000     -0.94     4.13     4.4576     5.5090
2010.7027     -1.91     3.65     4.7689     5.8342
2010.7055     -0.29     4.19     4.6290     5.6659
2010.7082     -1.00     5.70     4.5079     5.5355
2010.7110     -1.73     1.10     4.8539     5.9132
2010.7137     -0.07     3.32     4.8966     5.8474
2010.7164     0.87     2.88     4.4742     5.5529
2010.7192     -1.43     2.81     4.6186     5.6911
2010.7219     -2.41     3.35     5.3125     6.6647
2010.7247     -0.30     2.81     4.7908     5.8684
2010.7274     -0.77     2.13     4.6335     5.7302
2010.7301     -2.17     5.01     4.6813     5.6971
2010.7329     1.28     2.87     4.6564     5.7112
2010.7356     -0.01     3.01     4.3729     5.3674
2010.7384     -0.17     5.56     4.5331     5.5827
2010.7411     -1.07     2.45     4.6774     5.7220
2010.7438     2.79     4.79     5.0908     6.2976
2010.7466     -2.75     2.58     5.6500     6.5703
2010.7493     -0.12     2.75     4.8538     5.9131
2010.7521     0.08     3.20     4.8709     5.9195
2010.7548     -0.59     -0.16     4.6419     5.6066
2010.7575     0.47     4.24     4.6423     5.6064
2010.7603     -0.53     4.03     4.1226     5.0749
2010.7630     2.68     3.77     4.2110     5.0915
2010.7658     -1.50     1.90     4.4779     5.3596
2010.7685     -0.48     3.31     4.2649     5.1169
2010.7712     2.56     6.33     4.9781     6.0765
2010.7740     -2.35     6.85     4.5429     5.4624
2010.7767     -0.33     3.11     4.6697     5.5925
2010.7795     -2.08     3.04     4.4096     5.2947
2010.7822     -2.42     2.02     4.5570     5.5281
2010.7849     -1.10     -1.09     4.9366     5.9668
2010.7877     -2.36     2.50     4.6315     5.6354
2010.7904     -2.40     3.21     4.3226     5.2130
2010.7932     -0.69     3.08     4.3995     5.2850
2010.7959     -2.07     3.45     4.3616     5.3285
2010.7986     -0.80     3.43     4.3018     5.2323
2010.8014     -0.85     1.90     4.3326     5.3275
2010.8041     -1.18     4.75     4.4262     5.3629
2010.8068     -1.79     4.10     4.3690     5.3355
2010.8096     -0.89     3.48     4.4808     5.4572
2010.8123     1.33     5.10     4.7213     5.8166
2010.8151     -0.21     3.42     4.8035     5.8526
2010.8178     -3.33     3.73     4.7456     5.8536
2010.8205     -1.01     2.76     4.5932     5.6142
2010.8233     -0.80     5.30     4.4477     5.5044
2010.8260     0.25     2.57     4.0430     5.0004
2010.8288     -0.62     2.32     4.1764     5.1669
2010.8315     0.55     2.35     4.2659     5.2791
2010.8342     2.57     2.03     4.2234     5.2249
2010.8370     0.14     3.50     4.4621     5.4791
2010.8397     -0.13     1.65     4.4827     5.5230
2010.8425     0.65     2.85     4.1556     5.1910
2010.8452     0.16     3.05     4.2635     5.2779
2010.8479     1.17     2.37     4.1358     5.1152
2010.8507     0.88     4.06     4.4084     5.3864
2010.8534     1.06     3.45     4.3094     5.3343
2010.8562     -0.37     3.20     4.1270     5.1753
2010.8589     0.85     2.83     4.0292     4.9963
2010.8616     1.13     1.56     4.6190     5.6924
2010.8644     0.25     3.22     3.9538     4.8887
2010.8671     2.73     3.87     4.3915     5.3452
2010.8699     1.22     2.35     4.1726     5.1343
2010.8726     1.34     1.86     4.2215     5.2251
2010.8753     4.87     5.57     4.2053     5.1824
2010.8781     1.38     3.51     4.2229     5.2246
2010.8808     1.17     1.11     4.2229     5.2246
2010.8836     4.38     4.26     4.2988     5.2962
2010.8863     3.82     6.19     4.6709     5.7182
2010.8890     1.27     3.54     4.1983     5.2119
2010.8918     2.44     3.28     4.0003     4.9462
2010.8945     1.05     4.10     4.3156     5.2741
2010.8973     0.60     1.95     3.9066     4.8320
2010.9000     -0.76     3.83     3.8619     4.7787
2010.9027     1.57     4.34     4.0430     5.0004
2010.9055     1.72     3.27     4.1301     5.1114
2010.9082     0.34     4.98     4.1504     5.1533
2010.9110     3.63     10.58     4.2611     5.2445
2010.9137     3.84     5.99     4.4720     5.4193
2010.9164     0.23     3.24     4.0564     5.0431
2010.9192     0.67     1.66     3.9397     4.9148
2010.9219     0.95     2.92     4.3631     5.3356
2010.9247     0.42     2.48     4.2487     5.3058
2010.9274     -0.37     4.67     4.2201     5.2242
2010.9301     -1.42     5.75     4.0761     5.0176
2010.9329     -1.60     3.97     4.0276     4.9615
2010.9356     -2.66     1.18     4.1514     5.0898
2010.9384     1.84     1.81     4.2386     5.1996
2010.9411     7.19     9.35     4.8035     5.8524
2010.9438     1.27     2.83     4.8452     6.0029
2010.9466     2.70     2.77     4.3465     5.3535
2010.9493     1.44     1.46     3.9967     4.9451
2010.9521     1.27     2.95     4.6591     5.6791
2010.9548     0.42     0.78     4.0240     5.0269
2010.9575     -0.46     1.56     4.0868     5.0583
2010.9603     -7.57     0.76     4.2890     5.3567
2010.9630     3.53     2.66     3.9803     4.9681
2010.9658     1.15     2.68     4.1036     5.0977
2010.9685     1.87     3.25     3.8721     4.8820
2010.9712     0.62     0.60     3.8136     4.7847
2010.9740     3.99     3.00     3.9781     4.9670
2010.9767     6.08     3.48     4.1968     5.3097
2010.9795     2.88     2.25     3.9389     4.9148
2010.9822     0.95     3.22     3.7840     4.7697
2010.9849     2.43     1.43     3.8803     4.8189
2010.9877     0.03     0.99     3.9340     4.9131
2010.9904     -0.04     1.52     4.0057     5.0475
2010.9932     0.37     1.84     3.7362     4.7147
2010.9959     1.39     3.25     3.8405     4.8650
2010.9986     -2.72     3.51     4.0696     5.0802
2011.0014     -0.42     4.61     3.7364     4.6546
2011.0041     1.52     3.93     4.2295     5.3266
2011.0096     0.38     1.52     3.4541     4.2383
2011.0123     0.51     5.33     3.6561     4.5128
2011.0151     5.07     4.07     3.6912     4.5583
2011.0178     6.10     4.29     3.7036     4.5309
