#YYYY.DECM     baseline(mm)     azimuth(millisecond)
2010.6315     3.62     -3.69
2010.6342     3.37     -0.64
2010.6370     3.14     -0.38
2010.6397     2.65     -2.90
2010.6425     3.70     -2.47
2010.6452     3.26     -1.26
2010.6479     0.62     0.46
2010.6507     2.91     -1.16
2010.6534     4.08     -3.14
2010.6562     1.86     -1.16
2010.6589     2.19     -3.65
2010.6616     3.16     -1.84
2010.6644     2.91     -0.08
2010.6671     0.68     -1.79
2010.6699     2.62     0.31
2010.6726     3.19     -1.13
2010.6753     3.69     -0.08
2010.6781     3.11     -1.03
2010.6808     0.21     0.04
2010.6836     2.82     -0.43
2010.6863     2.51     -1.37
2010.6890     2.73     -0.14
2010.6918     2.78     -2.64
2010.6945     1.50     -3.45
2010.6973     2.81     -2.59
2010.7000     2.73     -0.14
2010.7027     2.70     1.56
2010.7055     1.58     -3.53
2010.7082     5.34     -2.54
2010.7110     1.73     -1.34
2010.7137     1.14     -0.78
2010.7164     2.52     -2.41
2010.7192     2.75     -1.38
2010.7219     2.67     -1.09
2010.7247     3.19     -0.87
2010.7274     2.28     -2.14
2010.7301     2.67     0.00
2010.7329     1.35     -0.65
2010.7356     3.26     -1.83
2010.7384     2.85     -0.78
2010.7411     0.50     -0.31
2010.7438     2.65     -2.18
2010.7466     2.03     -2.55
2010.7493     2.28     -3.22
2010.7521     2.25     -2.40
2010.7548     2.21     -0.52
2010.7575     2.77     0.84
2010.7603     3.20     -0.40
2010.7630     4.51     -1.05
2010.7658     2.14     -0.19
2010.7685     1.73     0.65
2010.7712     2.54     -0.17
2010.7740     0.96     1.55
2010.7767     1.24     0.51
2010.7795     1.16     2.10
2010.7822     2.70     -0.13
2010.7849     2.46     1.65
2010.7877     2.11     0.43
2010.7904     2.07     -0.29
2010.8205     0.84     0.95
2010.8233     0.22     1.88
2010.8260     1.14     0.60
2010.8288     1.06     0.69
2010.8315     1.02     0.18
2010.8342     0.52     1.52
2010.8370     0.76     2.35
2010.8397     0.85     0.77
2010.8425     1.77     0.57
2010.8452     0.73     0.37
2010.8479     1.41     0.62
2010.8507     0.97     2.49
2010.8534     0.56     0.74
2010.8562     1.16     1.73
2010.8589     1.44     0.25
2010.8616     1.04     0.23
2010.8644     0.81     1.81
2010.8671     0.53     1.79
2010.8699     0.38     0.46
2010.8726     0.50     2.39
2010.8753     1.54     2.80
2010.8781     0.65     1.99
2010.8808     0.36     1.08
2010.8836     0.79     2.22
2010.8863     0.91     2.42
2010.8890     0.43     2.50
2010.8918     0.89     1.75
2010.8945     0.56     1.42
2010.8973     1.10     1.88
2010.9000     0.59     2.13
2010.9027     1.20     1.40
2010.9055     0.29     0.99
2010.9082     0.63     1.34
2010.9110     0.69     1.65
2010.9137     0.78     2.66
2010.9164     0.64     2.66
2010.9192     1.38     1.07
2010.9219     0.98     3.22
2010.9247     0.55     1.86
2010.9274     0.93     1.41
2010.9301     -0.22     -0.92
2010.9329     -1.56     0.34
2010.9356     0.36     1.77
2010.9384     -0.37     0.58
2010.9411     1.11     2.36
2010.9438     -0.69     1.78
2010.9466     0.53     2.49
