#YYYY.DECM     baseline(mm)     azimuth(millisecond)
2010.4973     0.00     0.00
2010.5000     -6.73     0.96
2010.5027     -2.84     -1.23
2010.5055     -0.20     1.46
2010.5082     1.95     -0.68
2010.5110     3.86     -1.97
2010.5137     2.14     1.26
2010.5164     -0.17     -0.62
2010.5192     -0.07     0.87
2010.5219     -1.80     0.29
2010.5247     -0.15     0.20
2010.5274     -2.27     0.78
2010.5301     -1.79     -0.75
2010.5329     -1.21     -0.28
2010.5356     1.00     -1.75
2010.5384     5.45     4.16
2010.5411     -1.73     1.27
2010.5438     0.45     -0.69
2010.5466     1.52     2.56
2010.5493     0.51     3.39
2010.5521     -0.58     1.29
2010.5548     3.10     -2.01
2010.5575     1.05     0.18
2010.5603     1.26     -0.98
2010.5630     1.43     -0.67
2010.5658     4.21     1.53
2010.5685     -0.16     -1.65
2010.5712     -0.08     0.98
2010.5740     1.46     -1.00
2010.5767     -0.02     -0.09
2010.5795     -0.74     1.28
2010.5822     1.58     0.36
2010.5849     1.35     2.26
2010.5877     -0.80     -0.74
2010.5904     -3.16     2.77
2010.5932     1.47     -0.90
2010.5959     0.68     -0.83
2010.5986     1.23     -0.55
2010.6014     0.60     -2.02
2010.6041     3.29     0.76
2010.6068     1.60     -1.81
2010.6096     -0.05     -0.17
2010.6123     5.61     2.31
2010.6151     2.12     1.17
2010.6178     -1.69     0.53
2010.6205     1.48     -2.14
2010.6233     -0.82     2.25
2010.6260     0.55     -0.65
2010.6288     -3.34     1.34
2010.6836     1.48     0.63
2010.6863     1.03     0.29
2010.6890     -0.26     2.02
2010.6918     -0.60     2.63
2010.6945     -2.30     2.55
2010.6973     -0.76     0.78
2010.7000     -1.20     0.53
2010.7027     -1.98     4.93
2010.7055     -0.03     1.25
2010.7082     -0.93     3.15
2010.7110     -0.25     -0.36
2010.7137     -2.06     0.45
2010.7164     -1.17     0.00
2010.7192     -2.51     2.58
2010.7219     -6.60     3.04
2010.7247     -2.55     2.60
2010.7274     -1.86     1.66
2010.7301     -1.14     1.53
2010.7329     -1.50     1.54
2010.7356     -2.39     2.50
2010.7384     -1.15     2.36
2010.7411     -0.72     2.20
2010.7438     -2.20     1.46
2010.7466     -3.37     2.49
2010.7493     -1.29     2.03
2010.7521     -1.19     -0.09
2010.7548     -2.54     0.64
2010.7575     -1.56     1.99
2010.7603     -1.22     0.44
2010.7630     -1.06     1.17
2010.7658     -2.29     0.90
2010.7685     -1.95     1.31
2010.7712     -2.85     1.65
2010.7740     -0.13     0.39
2010.7767     -3.95     5.31
2010.7795     -1.88     2.81
2010.7822     -0.86     3.11
2010.7849     -1.00     1.44
2010.7877     -0.64     0.81
2010.7904     -2.03     1.67
2010.7932     -2.27     1.09
2010.7959     -1.83     1.03
2010.7986     -1.54     1.05
2010.8014     -2.18     1.45
2010.8041     -2.43     1.19
2010.8068     -1.25     3.24
2010.8096     -3.03     2.80
2010.8123     -2.28     3.26
2010.8151     -0.44     3.87
2010.8178     -3.46     2.34
2010.8205     -2.12     1.72
2010.8233     -1.94     1.50
2010.8260     -1.72     2.30
2010.8288     -3.17     0.21
2010.8315     -1.69     1.77
2010.8342     -1.66     0.51
2010.8370     -2.54     1.16
2010.8397     -1.64     0.81
2010.8425     -2.14     -0.22
2010.8452     -1.81     1.32
2010.8479     -3.29     1.20
2010.8507     -1.76     1.09
2010.8534     -1.28     0.38
2010.8562     -3.32     2.05
2010.8589     -2.78     1.51
2010.8616     -3.72     1.06
2010.8644     -3.43     1.50
2010.8671     -3.74     2.30
2010.8699     -5.27     1.81
2010.8726     -3.20     1.05
2010.8753     -2.76     1.39
2010.8781     -2.69     1.97
2010.8808     -3.82     0.40
2010.8836     -3.08     0.25
2010.8863     -3.96     1.93
2010.8890     -4.28     2.95
2010.8918     -2.41     1.28
2010.8945     -3.23     1.89
2010.8973     -3.20     2.07
2010.9000     -3.66     1.12
2010.9027     -4.00     1.74
2010.9055     -2.93     1.29
2010.9082     -3.03     1.87
2010.9110     -4.12     1.72
2010.9137     -3.76     1.29
2010.9164     -4.65     1.43
2010.9192     -3.14     1.63
2010.9219     -4.12     2.13
2010.9247     -4.18     1.65
2010.9274     -3.49     2.36
2010.9301     -3.99     1.74
2010.9329     -4.08     2.21
2010.9356     -3.15     1.74
2010.9384     -3.90     1.89
2010.9411     -4.25     1.18
2010.9438     -4.26     1.91
2010.9466     -3.37     2.18
2010.9493     -2.73     2.10
2010.9521     -3.21     1.26
2010.9548     -2.95     1.31
2010.9575     -3.58     0.97
2010.9603     -3.67     2.57
2010.9630     -3.03     0.74
2010.9658     -4.32     1.64
2010.9685     -4.57     1.28
2010.9712     -4.26     2.32
2010.9740     -4.46     1.72
2010.9767     -4.70     1.56
2010.9795     -4.88     1.36
2010.9822     -4.03     1.46
2010.9849     -4.05     1.99
2010.9877     -4.25     1.49
2010.9904     -5.05     1.57
2010.9932     -5.68     1.03
2010.9959     -5.23     1.78
2011.0041     -3.65     0.61
2011.0068     -5.49     1.94
2011.0096     -4.00     2.36
2011.0123     -6.05     -0.28
2011.0151     -3.87     0.33
2011.0178     -5.46     1.10
2011.0205     -6.33     1.43
2011.0233     -5.18     2.68
2011.0260     -6.54     2.29
2011.0288     -4.70     0.74
2011.0315     -6.15     2.04
2011.0342     -5.03     1.76
2011.0370     -5.41     2.20
2011.0397     -4.60     1.71
2011.0425     -6.59     1.28
2011.0452     -7.32     2.15
2011.0479     -6.76     2.00
2011.0507     -5.22     1.47
2011.0534     -7.01     1.85
2011.0562     -6.10     1.19
2011.0589     -5.72     1.88
2011.0616     -7.07     2.61
2011.0644     -6.56     2.40
2011.0671     -6.10     2.01
2011.0699     -7.75     0.45
2011.0726     -5.32     1.22
2011.0753     -6.16     1.94
2011.0781     -5.99     1.02
2011.0808     -6.81     4.09
2011.0836     -6.48     2.04
2011.0863     -4.74     1.07
2011.0890     -6.71     2.08
2011.0918     -6.74     2.30
2011.0945     -6.14     2.14
2011.0973     -7.39     2.29
2011.1000     -7.70     1.66
2011.1027     -7.00     1.74
2011.1055     -7.29     1.72
2011.1082     -7.35     2.06
2011.1110     -5.84     1.96
2011.1137     -6.77     2.02
2011.1164     -6.18     2.78
2011.1192     -7.20     1.45
2011.1219     -8.39     2.40
2011.1247     -6.50     2.47
2011.1274     -7.13     2.03
2011.1301     -7.10     1.19
2011.1329     -6.78     2.43
2011.1356     -7.38     1.87
2011.1384     -6.36     3.20
2011.1411     -8.70     1.55
2011.1438     -6.41     2.00
2011.1466     -7.59     0.87
2011.1493     -7.48     2.76
2011.1521     -6.33     0.92
2011.1548     -6.76     0.05
2011.1575     -6.10     -1.38
2011.1603     -7.68     1.85
2011.1630     -5.53     2.07
2011.1658     -7.68     2.68
2011.1685     -8.97     1.00
2011.1712     -9.23     3.22
2011.1740     -8.10     2.52
2011.1767     -7.76     3.04
2011.1795     -6.38     2.39
2011.1822     -7.65     2.66
2011.1849     -6.33     2.77
2011.1877     -8.28     2.63
2011.1932     -8.35     1.54
2011.1959     -6.97     0.49
2011.1986     -6.63     2.13
2011.2014     -7.32     2.55
2011.2041     -7.45     1.92
2011.2068     -7.30     1.82
2011.2096     -10.17     -4.13
2011.2123     -6.83     -3.30
2011.2151     -6.87     2.48
2011.2178     -7.28     1.81
2011.2205     -8.52     3.40
2011.2233     -7.85     2.27
2011.2260     -8.78     2.12
2011.2288     -7.43     2.21
2011.2315     -7.55     2.39
2011.2342     -8.97     1.20
2011.2370     -8.03     1.86
2011.2397     -9.63     2.13
2011.2425     -9.12     2.43
2011.2452     -10.76     2.41
2011.2479     -7.31     2.34
2011.2507     -8.17     1.95
2011.2534     -7.64     2.24
2011.2562     -10.21     2.59
2011.2589     -10.60     0.87
2011.2616     -10.54     0.84
2011.2644     -9.09     2.00
2011.2671     -10.51     3.08
2011.2699     -10.46     1.92
2011.2726     -8.16     2.25
2011.2753     -8.73     0.34
2011.2781     -7.88     1.56
2011.2808     -8.85     2.88
2011.2836     -10.18     0.92
2011.2863     -8.50     1.74
2011.2890     -9.58     2.20
2011.2918     -9.73     2.91
2011.2945     -8.76     2.41
2011.2973     -9.07     1.48
2011.3000     -10.40     2.40
2011.3027     -10.64     1.72
2011.3055     -11.14     2.03
2011.3082     -9.46     1.92
2011.3110     -10.00     2.46
2011.3137     -9.08     2.92
2011.3164     -8.83     2.36
2011.3192     -9.76     3.44
2011.3219     -10.04     2.69
2011.3247     -9.57     1.16
2011.3274     -13.55     1.97
2011.3301     -9.76     0.46
2011.3329     -9.19     1.86
2011.3356     -9.15     1.63
2011.3384     -11.02     1.44
2011.3411     -11.04     2.99
2011.3438     -11.68     1.85
2011.3466     -11.47     5.73
2011.3493     -10.82     -2.80
2011.3521     -11.73     1.78
2011.3548     -10.80     1.10
2011.3575     -11.09     3.64
2011.3603     -10.75     3.02
2011.3630     -8.92     2.31
2011.3658     -9.14     3.17
2011.3685     -10.93     3.54
2011.3712     -11.08     2.51
2011.3740     -10.74     3.02
2011.3767     -10.87     3.10
2011.3795     -12.53     2.47
2011.3822     -8.12     3.25
2011.3849     -10.89     3.62
2011.3877     -10.62     4.08
2011.3904     -11.09     3.24
2011.3932     -8.97     2.65
2011.3959     -12.89     3.52
2011.3986     -11.30     4.18
2011.4014     -11.24     4.67
2011.4041     -13.23     3.42
2011.4068     -10.83     2.45
2011.4096     -10.09     3.54
2011.4123     -10.84     2.46
2011.4151     -10.69     2.78
2011.4178     -10.92     3.75
2011.4205     -11.62     4.59
2011.4233     -10.77     3.45
2011.4260     -9.46     3.67
2011.4288     -11.85     3.80
2011.4315     -12.22     2.69
2011.4342     -10.96     4.49
2011.4370     -10.77     1.19
2011.4397     -10.69     3.81
2011.4425     -12.16     3.07
2011.4452     -9.12     2.23
2011.4479     -8.71     3.10
2011.4507     -10.89     4.97
2011.4534     -11.80     2.03
2011.4562     -10.51     4.63
2011.4589     -10.31     2.24
2011.4616     -10.51     6.58
2011.4644     -10.12     3.05
2011.4671     -10.17     4.83
2011.4699     -11.58     4.67
2011.4726     -10.26     2.93
2011.4753     -11.38     5.16
2011.4781     -14.70     4.22
2011.4808     -10.04     3.21
2011.4836     -10.44     2.42
2011.4863     -10.20     3.92
2011.4890     -13.68     3.39
2011.4918     -11.65     2.76
2011.4945     -10.64     3.88
2011.4973     -12.41     3.84
2011.5000     -12.42     5.81
2011.5027     -11.51     2.46
2011.5055     -12.64     5.43
2011.5082     -8.16     4.83
2011.5110     -9.89     3.84
2011.5137     -11.23     2.60
2011.5164     -12.01     3.49
2011.5192     -11.46     4.69
2011.5219     -12.21     4.23
2011.5247     -11.68     3.29
2011.5274     -11.57     4.25
2011.5301     -10.57     4.26
2011.5329     -11.67     3.29
2011.5356     -12.08     4.16
2011.5384     -11.83     2.66
2011.5411     -14.80     5.11
2011.5438     -9.17     4.01
2011.5466     -11.77     2.21
2011.5493     -8.83     3.18
2011.5521     -10.14     2.96
2011.5548     -11.16     3.58
2011.5575     -11.60     4.27
2011.5603     -11.60     3.96
2011.5630     -10.27     3.76
2011.6096     -10.55     4.55
2011.6123     -12.94     6.64
2011.6151     -12.14     5.42
2011.6178     -14.99     9.65
2011.6205     -12.67     7.50
2011.6260     -12.08     5.90
2011.6288     -14.59     6.01
2011.6315     -9.78     3.87
2011.6342     -12.61     2.94
2011.6370     -12.65     4.92
2011.6397     -11.31     5.12
2011.6425     -13.32     6.05
2011.6452     -11.99     5.85
2011.6479     -12.66     5.23
2011.6507     -10.81     4.50
2011.6534     -16.20     5.77
2011.6562     -11.27     6.12
2011.6589     -11.42     4.06
2011.6616     -11.70     2.79
2011.6644     -12.25     5.19
2011.6671     -14.06     5.06
2011.6699     -11.74     5.18
2011.6726     -14.62     5.21
2011.6753     -13.13     4.49
2011.6781     -13.82     8.52
2011.6808     -11.37     7.42
2011.6836     -13.41     6.82
2011.6863     -12.90     6.41
2011.6890     -12.82     6.36
2011.6918     -14.16     5.64
2011.6945     -13.08     5.08
2011.6973     -12.17     4.00
2011.7027     -12.51     6.37
2011.7055     -14.51     7.30
2011.7082     -13.15     6.56
2011.7110     -14.50     8.01
2011.7137     -13.71     5.37
2011.7164     -14.00     5.03
2011.7192     -14.86     5.35
2011.7219     -12.02     6.28
2011.7247     -12.53     4.02
2011.7274     -14.62     5.31
2011.7301     -15.88     5.78
2011.7329     -14.54     6.29
2011.7356     -13.55     6.40
2011.7384     -15.45     5.92
2011.7411     -14.61     5.51
2011.7438     -13.23     6.71
2011.7466     -13.83     6.68
2011.7493     -12.62     5.10
2011.7521     -13.09     6.42
2011.7548     -13.21     5.67
2011.7575     -12.89     6.10
2011.7603     -13.53     5.87
2011.7630     -13.46     6.65
2011.7658     -14.32     7.08
2011.7685     -14.40     6.61
2011.7712     -13.73     6.30
2011.7740     -14.59     6.52
2011.7822     -12.11     5.21
2011.7849     -13.84     5.96
2011.7877     -14.31     5.11
2011.7904     -13.90     6.00
2011.7932     -13.82     5.54
2011.7959     -13.00     4.62
2011.7986     -14.44     5.82
2011.8014     -14.05     7.12
2011.8041     -16.80     10.25
2011.8068     -14.91     5.39
2011.8096     -12.99     5.74
2011.8123     -14.74     6.72
2011.8151     -14.66     6.16
2011.8178     -13.43     6.12
2011.8205     -13.15     6.56
2011.8233     -14.78     6.03
2011.8260     -14.73     5.48
2011.8288     -12.29     4.70
2011.8315     -12.79     5.72
2011.8342     -13.96     5.83
2011.8370     -14.38     5.06
2011.8397     -15.66     7.19
