#YYYY.DECM     baseline(mm)     azimuth(millisecond)
2010.4973     1.11     -10.59
2010.5000     -5.61     -9.64
2010.5027     -1.69     -11.85
2010.5055     0.97     -9.16
2010.5082     3.14     -11.32
2010.5110     5.08     -12.61
2010.5137     3.38     -9.40
2010.5164     1.10     -11.29
2010.5192     1.22     -9.82
2010.5219     -0.49     -10.40
2010.5247     1.19     -10.50
2010.5274     -0.90     -9.94
2010.5301     -0.41     -11.48
2010.5329     0.20     -11.02
2010.5356     2.43     -12.50
2010.5384     6.91     -6.60
2010.5411     -0.25     -9.50
2010.5438     1.96     -11.47
2010.5466     3.05     -8.23
2010.5493     2.06     -7.42
2010.5521     0.99     -9.53
2010.5548     4.70     -12.84
2010.5575     2.67     -10.66
2010.5603     2.90     -11.83
2010.5630     3.10     -11.54
2010.5658     5.90     -9.35
2010.5685     1.56     -12.54
2010.5712     1.66     -9.92
2010.5740     3.22     -11.91
2010.5767     1.76     -11.01
2010.5795     1.06     -9.65
2010.5822     3.41     -10.58
2010.5849     3.20     -8.69
2010.5877     1.08     -11.71
2010.5904     -1.26     -8.20
2010.5932     3.39     -11.89
2010.5959     2.63     -11.83
2010.5986     3.20     -11.56
2010.6014     2.60     -13.04
2010.6041     5.30     -10.28
2010.6068     3.64     -12.85
2010.6096     2.01     -11.23
2010.6123     7.70     -8.76
2010.6151     4.23     -9.91
2010.6178     0.45     -10.56
2010.6205     3.63     -13.24
2010.6233     1.36     -8.86
2010.6260     2.76     -11.77
2010.6288     -1.11     -9.80
2010.6836     4.18     -10.73
2010.6863     3.75     -11.08
2010.6890     2.48     -9.37
2010.6918     2.17     -8.76
2010.6945     0.49     -8.86
2010.6973     2.05     -10.64
2010.7000     1.64     -10.90
2010.7027     0.88     -6.51
2010.7055     2.85     -10.20
2010.7082     1.97     -8.31
2010.7110     2.68     -11.83
2010.7137     0.89     -11.04
2010.7164     1.80     -11.49
2010.7192     0.49     -8.93
2010.7219     -3.58     -8.48
2010.7247     0.49     -8.93
2010.7274     1.21     -9.88
2010.7301     1.95     -10.03
2010.7329     1.62     -10.02
2010.7356     0.75     -9.07
2010.7384     2.01     -9.23
2010.7411     2.46     -9.40
2010.7438     1.01     -10.15
2010.7466     -0.13     -9.13
2010.7493     1.97     -9.60
2010.7521     2.09     -11.73
2010.7548     0.76     -11.01
2010.7575     1.77     -9.67
2010.7603     2.13     -11.23
2010.7630     2.31     -10.52
2010.7658     1.11     -10.80
2010.7685     1.47     -10.41
2010.7712     0.59     -10.07
2010.7740     3.33     -11.34
2010.7767     -0.46     -6.43
2010.7795     1.64     -8.95
2010.7822     2.67     -8.66
2010.7849     2.56     -10.34
2010.7877     2.94     -10.98
2010.7904     1.58     -10.14
2010.7932     1.37     -10.72
2010.7959     1.83     -10.80
2010.7986     2.14     -10.79
2010.8014     1.52     -10.40
2010.8041     1.30     -10.67
2010.8068     2.49     -8.63
2010.8096     0.74     -9.08
2010.8123     1.51     -8.63
2010.8151     3.38     -8.03
2010.8178     0.38     -9.58
2010.8205     1.75     -10.21
2010.8233     1.95     -10.43
2010.8260     2.19     -9.65
2010.8288     0.76     -11.75
2010.8315     2.26     -10.20
2010.8342     2.32     -11.47
2010.8370     1.47     -10.84
2010.8397     2.38     -11.20
2010.8425     1.91     -12.24
2010.8452     2.26     -10.70
2010.8479     0.81     -10.84
2010.8507     2.36     -10.96
2010.8534     2.86     -11.68
2010.8562     0.85     -10.03
2010.8589     1.41     -10.58
2010.8616     0.49     -11.04
2010.8644     0.81     -10.61
2010.8671     0.52     -9.81
2010.8699     -0.98     -10.32
2010.8726     1.10     -11.09
2010.8753     1.57     -10.76
2010.8781     1.66     -10.20
2010.8808     0.56     -11.78
2010.8836     1.32     -11.94
2010.8863     0.47     -10.27
2010.8890     0.17     -9.26
2010.8918     2.06     -10.94
2010.8945     1.26     -10.34
2010.8973     1.32     -10.17
2010.9000     0.89     -11.13
2010.9027     0.57     -10.52
2010.9055     1.66     -10.99
2010.9082     1.58     -10.42
2010.9110     0.51     -10.58
2010.9137     0.90     -11.02
2010.9164     0.03     -10.90
2010.9192     1.57     -10.71
2010.9219     0.61     -10.22
2010.9247     0.58     -10.71
2010.9274     1.29     -10.01
2010.9301     0.81     -10.64
2010.9329     0.74     -10.18
2010.9356     1.70     -10.66
2010.9384     0.97     -10.52
2010.9411     0.64     -11.24
2010.9438     0.66     -10.53
2010.9466     1.57     -10.27
2010.9493     2.23     -10.36
2010.9521     1.78     -11.21
2010.9548     2.06     -11.18
2010.9575     1.45     -11.52
2010.9603     1.39     -9.93
2010.9630     2.05     -11.78
2010.9658     0.78     -10.89
2010.9685     0.55     -11.26
2010.9712     0.89     -10.23
2010.9740     0.71     -10.84
2010.9767     0.49     -11.01
2010.9795     0.35     -11.22
2010.9822     1.21     -11.14
2010.9849     1.21     -10.62
2010.9877     1.04     -11.13
2010.9904     0.26     -11.06
2010.9932     -0.34     -11.61
2010.9959     0.13     -10.87
2011.0041     1.78     -12.08
2011.0068     -0.04     -10.75
2011.0096     1.48     -10.35
2011.0123     -0.55     -13.00
2011.0151     1.65     -12.40
2011.0178     0.09     -11.64
2011.0205     -0.76     -11.32
2011.0233     0.41     -10.08
2011.0260     -0.93     -10.49
2011.0288     0.95     -12.05
2011.0315     -0.48     -10.76
2011.0342     0.66     -11.05
2011.0370     0.30     -10.62
2011.0397     1.14     -11.13
2011.0425     -0.83     -11.56
2011.0452     -1.54     -10.71
2011.0479     -0.95     -10.86
2011.0507     0.60     -11.41
2011.0534     -1.16     -11.04
2011.0562     -0.22     -11.71
2011.0589     0.17     -11.03
2011.0616     -1.15     -10.31
2011.0644     -0.62     -10.54
2011.0671     -0.13     -10.93
2011.0699     -1.75     -12.51
2011.0726     0.69     -11.74
2011.0753     -0.12     -11.04
2011.0781     0.07     -11.97
2011.0808     -0.72     -8.91
2011.0836     -0.37     -10.97
2011.0863     1.40     -11.96
2011.0890     -0.55     -10.96
2011.0918     -0.56     -10.75
2011.0945     0.06     -10.92
2011.0973     -1.16     -10.78
2011.1000     -1.45     -11.42
2011.1027     -0.73     -11.35
2011.1055     -1.00     -11.39
2011.1082     -1.03     -11.05
2011.1110     0.50     -11.17
2011.1137     -0.41     -11.12
2011.1164     0.21     -10.37
2011.1192     -0.78     -11.71
2011.1219     -1.96     -10.78
2011.1247     -0.04     -10.72
2011.1274     -0.65     -11.16
2011.1301     -0.59     -12.02
2011.1329     -0.25     -10.79
2011.1356     -0.83     -11.36
2011.1384     0.22     -10.04
2011.1411     -2.10     -11.70
2011.1438     0.21     -11.26
2011.1466     -0.94     -12.41
2011.1493     -0.81     -10.52
2011.1521     0.37     -12.38
2011.1548     -0.04     -13.26
2011.1575     0.64     -14.70
2011.1603     -0.92     -11.48
2011.1630     1.26     -11.27
2011.1658     -0.87     -10.67
2011.1685     -2.13     -12.37
2011.1712     -2.37     -10.16
2011.1740     -1.22     -10.87
2011.1767     -0.86     -10.36
2011.1795     0.55     -11.02
2011.1822     -0.70     -10.77
2011.1849     0.65     -10.67
2011.1877     -1.28     -10.81
2011.1932     -1.30     -11.92
2011.1959     0.10     -12.99
2011.1986     0.46     -11.35
2011.2014     -0.20     -10.95
2011.2041     -0.31     -11.60
2011.2068     -0.14     -11.70
2011.2096     -2.98     -17.66
2011.2123     0.38     -16.85
2011.2151     0.36     -11.07
2011.2178     -0.03     -11.75
2011.2205     -1.24     -10.18
2011.2233     -0.55     -11.32
2011.2260     -1.45     -11.48
2011.2288     -0.08     -11.40
2011.2315     -0.18     -11.23
2011.2342     -1.57     -12.43
2011.2370     -0.61     -11.79
2011.2397     -2.18     -11.53
2011.2425     -1.65     -11.24
2011.2452     -3.27     -11.27
2011.2479     0.21     -11.35
2011.2507     -0.63     -11.76
2011.2534     -0.08     -11.48
2011.2562     -2.62     -11.14
2011.2589     -3.00     -12.86
2011.2616     -2.91     -12.91
2011.2644     -1.44     -11.76
2011.2671     -2.84     -10.69
2011.2699     -2.76     -11.87
2011.2726     -0.44     -11.54
2011.2753     -0.98     -13.47
2011.2781     -0.11     -12.25
2011.2808     -1.06     -10.94
2011.2836     -2.37     -12.92
2011.2863     -0.66     -12.11
2011.2890     -1.71     -11.66
2011.2918     -1.85     -10.96
2011.2945     -0.85     -11.47
2011.2973     -1.14     -12.42
2011.3000     -2.45     -11.51
2011.3027     -2.66     -12.20
2011.3055     -3.13     -11.91
2011.3082     -1.43     -12.02
2011.3110     -1.95     -11.49
2011.3137     -1.01     -11.04
2011.3164     -0.74     -11.62
2011.3192     -1.64     -10.54
2011.3219     -1.90     -11.31
2011.3247     -1.41     -12.85
2011.3274     -5.36     -12.05
2011.3301     -1.55     -13.57
2011.3329     -0.95     -12.19
2011.3356     -0.89     -12.43
2011.3384     -2.74     -12.62
2011.3411     -2.73     -11.09
2011.3438     -3.35     -12.24
2011.3466     -3.12     -8.37
2011.3493     -2.44     -16.91
2011.3521     -3.33     -12.35
2011.3548     -2.38     -13.03
2011.3575     -2.64     -10.50
2011.3603     -2.28     -11.13
2011.3630     -0.42     -11.86
2011.3658     -0.63     -11.01
2011.3685     -2.38     -10.65
2011.3712     -2.52     -11.69
2011.3740     -2.15     -11.20
2011.3767     -2.26     -11.13
2011.3795     -3.89     -11.77
2011.3822     0.54     -10.99
2011.3849     -2.20     -10.64
2011.3877     -1.92     -10.19
2011.3904     -2.36     -11.05
2011.3932     -0.22     -11.64
2011.3959     -4.11     -10.79
2011.3986     -2.50     -10.13
2011.4014     -2.42     -9.66
2011.4041     -4.38     -10.92
2011.4068     -1.96     -11.90
2011.4096     -1.19     -10.82
2011.4123     -1.93     -11.91
2011.4151     -1.75     -11.61
2011.4178     -1.96     -10.65
2011.4205     -2.63     -9.82
2011.4233     -1.76     -10.97
2011.4260     -0.42     -10.76
2011.4288     -2.79     -10.64
2011.4315     -3.14     -11.76
2011.4342     -1.86     -9.97
2011.4370     -1.65     -13.29
2011.4397     -1.54     -10.67
2011.4425     -2.99     -11.43
2011.4452     0.08     -12.28
2011.4479     0.51     -11.42
2011.4507     -1.65     -9.57
2011.4534     -2.54     -12.52
2011.4562     -1.22     -9.93
2011.4589     -1.00     -12.33
2011.4616     -1.18     -7.99
2011.4644     -0.76     -11.54
2011.4671     -0.79     -9.77
2011.4699     -2.18     -9.94
2011.4726     -0.83     -11.70
2011.4753     -1.93     -9.47
2011.4781     -5.22     -10.42
2011.4808     -0.54     -11.45
2011.4836     -0.92     -12.24
2011.4863     -0.65     -10.76
2011.4890     -4.11     -11.30
2011.4918     -2.06     -11.94
2011.4945     -1.02     -10.83
2011.4973     -2.76     -10.88
2011.5000     -2.76     -8.93
2011.5027     -1.82     -12.28
2011.5055     -2.93     -9.33
2011.5082     1.57     -9.94
2011.5110     -0.14     -10.94
2011.5137     -1.45     -12.19
2011.5164     -2.21     -11.31
2011.5192     -1.63     -10.12
2011.5219     -2.36     -10.59
2011.5247     -1.81     -11.55
2011.5274     -1.67     -10.60
2011.5301     -0.65     -10.60
2011.5329     -1.73     -11.59
2011.5356     -2.12     -10.73
2011.5384     -1.84     -12.23
2011.5411     -4.78     -9.80
2011.5438     0.87     -10.91
2011.5466     -1.71     -12.72
2011.5493     1.26     -11.76
2011.5521     -0.03     -11.99
2011.5548     -1.03     -11.38
2011.5575     -1.44     -10.71
2011.5603     -1.42     -11.02
2011.5630     -0.07     -11.23
2011.6096     0.05     -10.64
2011.6123     -2.32     -8.56
2011.6151     -1.49     -9.79
2011.6178     -4.32     -5.57
2011.6205     -1.97     -7.73
2011.6260     -1.34     -9.35
2011.6288     -3.83     -9.26
2011.6315     1.01     -11.41
2011.6342     -1.81     -12.35
2011.6370     -1.82     -10.38
2011.6397     -0.46     -10.19
2011.6425     -2.44     -9.27
2011.6452     -1.09     -9.49
2011.6479     -1.74     -10.11
2011.6507     0.14     -10.85
2011.6534     -5.23     -9.60
2011.6562     -0.27     -9.26
2011.6589     -0.40     -11.34
2011.6616     -0.65     -12.62
2011.6644     -1.19     -10.23
2011.6671     -2.97     -10.36
2011.6699     -0.62     -10.26
2011.6726     -3.49     -10.24
2011.6753     -1.97     -10.97
2011.6781     -2.63     -6.95
2011.6808     -0.17     -8.06
2011.6836     -2.18     -8.67
2011.6863     -1.64     -9.10
2011.6890     -1.54     -9.16
2011.6918     -2.86     -9.89
