#YYYY.DECM     baseline(mm)     azimuth(millisecond)
2010.4973     0.00     0.00
2010.5000     1.88     2.99
2010.5027     4.91     -0.52
2010.5055     0.53     1.02
2010.5082     -1.61     0.79
2010.5110     0.78     2.11
2010.5137     -1.80     0.05
2010.5164     -0.66     2.45
2010.5192     1.38     1.70
2010.5219     -0.73     -0.43
2010.5247     -1.16     0.27
2010.5274     -0.64     1.27
2010.5301     0.64     2.89
2010.5329     4.70     3.32
2010.5356     0.38     3.42
2010.5384     2.93     1.01
2010.5411     -1.03     2.74
2010.5438     -0.76     3.10
2010.5466     -0.36     3.27
2010.5493     0.36     5.34
2010.5521     1.69     2.99
2010.5548     -1.95     1.56
2010.5575     -0.58     5.77
2010.5603     1.86     -1.03
2010.5630     -1.60     4.81
2010.5658     -1.53     5.31
2010.5685     -1.44     -0.41
2010.5712     -0.87     3.17
2010.5740     -2.77     6.10
2010.5767     -0.49     5.85
2010.5795     -0.68     5.55
2010.5822     1.14     4.48
2010.5849     3.04     4.81
2010.5877     -0.88     4.50
2010.5904     2.10     8.21
2010.5932     -5.32     6.29
2010.5959     -1.59     4.82
2010.5986     -0.63     1.28
2010.6014     0.04     5.83
2010.6041     -4.25     3.28
2010.6068     6.06     6.04
2010.6096     0.03     4.19
2010.6123     0.36     6.53
2010.6151     1.11     2.82
2010.6178     0.02     1.21
2010.6205     -0.80     2.63
2010.6233     -3.17     2.81
2010.6260     0.53     5.33
2010.6288     0.37     3.12
2010.6315     0.12     5.00
2010.6342     1.03     5.13
2010.6370     1.69     4.92
2010.6397     3.04     6.00
2010.6425     3.26     7.66
2010.6452     3.15     7.87
2010.6479     0.51     6.95
2010.6507     5.17     3.69
2010.6534     0.46     6.16
2010.6562     2.19     6.51
2010.6589     4.88     7.03
2010.6616     0.52     3.54
2010.6644     3.95     3.75
2010.6671     0.19     5.79
2010.6699     1.81     5.61
2010.6726     3.69     6.82
2010.6753     0.71     4.13
2010.6781     1.34     6.57
2010.6808     0.82     5.71
2010.6836     1.37     5.85
2010.6863     -0.13     6.88
2010.6890     1.90     2.71
2010.6918     4.36     2.30
2010.6945     0.36     5.93
2010.6973     2.06     5.21
2010.7000     1.63     6.95
2010.7027     0.68     6.49
2010.7055     2.31     7.05
2010.7082     1.62     8.58
2010.7110     0.90     3.99
2010.7137     2.59     6.23
2010.7164     3.54     5.81
2010.7192     1.26     5.76
2010.7219     0.29     6.32
2010.7247     2.42     5.80
2010.7274     1.97     5.14
2010.7301     0.59     8.05
2010.7329     4.05     5.92
2010.7356     2.77     6.08
2010.7384     2.64     8.65
2010.7411     1.75     5.56
2010.7438     5.62     7.92
2010.7466     0.10     5.73
2010.7493     2.75     5.92
2010.7521     2.97     6.39
2010.7548     2.32     3.04
2010.7575     3.39     7.47
2010.7603     2.41     7.28
2010.7630     5.63     7.04
2010.7658     1.47     5.19
2010.7685     2.51     6.61
2010.7712     5.56     9.65
2010.7740     0.67     10.19
2010.7767     2.71     6.48
2010.7795     0.97     6.43
2010.7822     0.65     5.42
2010.7849     1.99     2.34
2010.7877     0.74     5.95
2010.7904     0.72     6.67
2010.7932     2.45     6.57
2010.7959     1.08     6.96
2010.7986     2.37     6.95
2010.8014     2.34     5.44
2010.8041     2.03     8.31
2010.8068     1.42     7.68
2010.8096     2.34     7.08
2010.8123     4.58     8.72
2010.8151     3.06     7.05
2010.8178     -0.05     7.39
2010.8205     2.29     6.44
