#YYYY.DECM     baseline(mm)     azimuth(millisecond)
2010.4973     -1.34     -1.37
2010.5000     0.52     1.60
2010.5027     3.54     -1.93
2010.5055     -0.86     -0.41
2010.5082     -3.01     -0.65
2010.5110     -0.64     0.65
2010.5137     -3.23     -1.44
2010.5164     -2.11     0.94
2010.5192     -0.10     0.17
2010.5219     -2.22     -1.98
2010.5247     -2.66     -1.30
2010.5274     -2.16     -0.31
2010.5301     -0.90     1.28
2010.5329     3.15     1.70
2010.5356     -1.20     1.78
2010.5384     1.34     -0.66
2010.5411     -2.63     1.06
2010.5438     -2.38     1.40
2010.5466     -2.00     1.55
2010.5493     -1.29     3.60
2010.5521     0.02     1.23
2010.5548     -3.64     -0.22
2010.5575     -2.29     3.97
2010.5603     0.14     -2.85
2010.5630     -3.34     2.97
2010.5658     -3.29     3.45
2010.5685     -3.22     -2.29
2010.5712     -2.66     1.27
2010.5740     -4.57     4.19
2010.5767     -2.31     3.91
2010.5795     -2.52     3.59
2010.5822     -0.71     2.51
2010.5849     1.17     2.82
2010.5877     -2.76     2.49
2010.5904     0.19     6.18
2010.5932     -7.24     4.24
2010.5959     -3.52     2.75
2010.5986     -2.59     -0.81
2010.6014     -1.93     3.71
2010.6041     -6.24     1.15
2010.6068     4.06     3.89
2010.6096     -1.99     2.02
2010.6123     -1.68     4.34
2010.6151     -0.94     0.61
2010.6178     -2.05     -1.02
2010.6205     -2.89     0.38
2010.6233     -5.27     0.55
2010.6260     -1.59     3.04
2010.6288     -1.77     0.81
2010.6315     -2.03     2.68
2010.6342     -1.14     2.79
2010.6370     -0.49     2.56
2010.6397     0.84     3.62
2010.6425     1.04     5.26
2010.6452     0.91     5.45
2010.6479     -1.74     4.51
2010.6507     2.89     1.23
2010.6534     -1.83     3.68
2010.6562     -0.12     4.00
2010.6589     2.56     4.51
2010.6616     -1.82     0.99
2010.6644     1.59     1.19
2010.6671     -2.18     3.21
2010.6699     -0.58     3.01
2010.6726     1.28     4.20
2010.6753     -1.71     1.49
2010.6781     -1.10     3.91
2010.6808     -1.63     3.03
2010.6836     -1.10     3.15
2010.6863     -2.62     4.16
2010.6890     -0.61     -0.03
2010.6918     1.84     -0.46
2010.6945     -2.18     3.15
2010.6973     -0.50     2.42
2010.7000     -0.94     4.13
2010.7027     -1.91     3.65
2010.7055     -0.29     4.19
2010.7082     -1.00     5.70
2010.7110     -1.73     1.10
2010.7137     -0.07     3.32
2010.7164     0.87     2.88
2010.7192     -1.43     2.81
2010.7219     -2.41     3.35
2010.7247     -0.30     2.81
2010.7274     -0.77     2.13
2010.7301     -2.17     5.01
2010.7329     1.28     2.87
2010.7356     -0.01     3.01
2010.7384     -0.17     5.56
2010.7411     -1.07     2.45
2010.7438     2.79     4.79
2010.7466     -2.75     2.58
2010.7493     -0.12     2.75
2010.7521     0.08     3.20
2010.7548     -0.59     -0.16
2010.7575     0.47     4.24
2010.7603     -0.53     4.03
2010.7630     2.68     3.77
2010.7658     -1.50     1.90
2010.7685     -0.48     3.31
2010.7712     2.56     6.33
2010.7740     -2.35     6.85
2010.7767     -0.33     3.11
2010.7795     -2.08     3.04
2010.7822     -2.42     2.02
2010.7849     -1.10     -1.09
2010.7877     -2.36     2.50
2010.7904     -2.40     3.21
2010.7932     -0.69     3.08
2010.7959     -2.07     3.45
2010.7986     -0.80     3.43
2010.8014     -0.85     1.90
2010.8041     -1.18     4.75
2010.8068     -1.79     4.10
2010.8096     -0.89     3.48
2010.8123     1.33     5.10
2010.8151     -0.21     3.42
2010.8178     -3.33     3.73
2010.8205     -1.01     2.76
2010.8233     -0.80     5.30
2010.8260     0.25     2.57
2010.8288     -0.62     2.32
2010.8315     0.55     2.35
2010.8342     2.57     2.03
2010.8370     0.14     3.50
2010.8397     -0.13     1.65
2010.8425     0.65     2.85
2010.8452     0.16     3.05
2010.8479     1.17     2.37
2010.8507     0.88     4.06
2010.8534     1.06     3.45
2010.8562     -0.37     3.20
2010.8589     0.85     2.83
2010.8616     1.13     1.56
2010.8644     0.25     3.22
2010.8671     2.73     3.87
2010.8699     1.22     2.35
2010.8726     1.34     1.86
2010.8753     4.87     5.57
2010.8781     1.38     3.51
2010.8808     1.17     1.11
2010.8836     4.38     4.26
2010.8863     3.82     6.19
2010.8890     1.27     3.54
2010.8918     2.44     3.28
2010.8945     1.05     4.10
2010.8973     0.60     1.95
2010.9000     -0.76     3.83
2010.9027     1.57     4.34
2010.9055     1.72     3.27
2010.9082     0.34     4.98
2010.9110     3.63     10.58
2010.9137     3.84     5.99
2010.9164     0.23     3.24
2010.9192     0.67     1.66
2010.9219     0.95     2.92
2010.9247     0.42     2.48
2010.9274     -0.37     4.67
2010.9301     -1.42     5.75
2010.9329     -1.60     3.97
2010.9356     -2.66     1.18
2010.9384     1.84     1.81
2010.9411     7.19     9.35
2010.9438     1.27     2.83
2010.9466     2.70     2.77
2010.9493     1.44     1.46
2010.9521     1.27     2.95
2010.9548     0.42     0.78
2010.9575     -0.46     1.56
2010.9603     -7.57     0.76
2010.9630     3.53     2.66
2010.9658     1.15     2.68
2010.9685     1.87     3.25
2010.9712     0.62     0.60
2010.9740     3.99     3.00
2010.9767     6.08     3.48
2010.9795     2.88     2.25
2010.9822     0.95     3.22
2010.9849     2.43     1.43
2010.9877     0.03     0.99
2010.9904     -0.04     1.52
2010.9932     0.37     1.84
2010.9959     1.39     3.25
2010.9986     -2.72     3.51
2011.0014     -0.42     4.61
2011.0041     1.52     3.93
2011.0096     0.38     1.52
2011.0123     0.51     5.33
2011.0151     5.07     4.07
2011.0178     6.10     4.29
2011.0205     4.46     4.91
2011.0233     1.55     1.09
2011.0534     -0.18     1.56
2011.0562     3.32     1.23
2011.0589     2.60     1.10
2011.0616     1.56     2.19
2011.0644     -0.06     2.97
2011.0671     -1.45     1.70
2011.0699     2.71     7.40
2011.0726     4.48     3.47
2011.0753     0.11     2.93
2011.0781     0.24     2.14
2011.0808     1.82     2.50
2011.0836     0.19     1.93
2011.0863     -0.39     1.62
2011.0890     2.04     3.55
2011.0918     0.88     3.66
2011.0945     -0.79     2.02
2011.0973     -0.67     1.51
2011.1000     2.33     3.46
2011.1027     -1.11     0.41
2011.1055     3.23     4.17
2011.1082     2.19     3.33
2011.1110     -0.85     0.45
2011.1137     3.45     4.77
2011.1164     -1.51     1.84
2011.1192     -1.18     0.01
2011.1219     2.49     0.28
2011.1247     16.41     6.81
2011.1274     7.24     8.22
2011.1301     3.01     3.94
2011.1329     6.50     7.03
2011.1356     3.66     4.89
2011.1384     0.82     -1.85
2011.1411     -0.36     3.15
2011.1438     1.27     -0.30
2011.1466     0.71     -0.91
2011.1493     2.18     1.30
2011.1521     2.17     1.73
2011.1548     1.11     5.04
2011.1575     9.23     6.33
2011.1603     0.88     0.82
