# Time(a)    BL_length(m)   Sig_bl(m)         Up(mm)  Sig_u(mm)
2010.4973    247799.11191    0.00469         11.3948    0.0000
2010.5000    247799.10521    0.00709         17.7519    0.0000
2010.5027    247799.10909    0.00567         13.8173    0.0000
2010.5055    247799.11176    0.00564         13.6569    0.0000
2010.5082    247799.11381    0.00441         10.8007    0.0000
2010.5110    247799.11574    0.00503         12.5323    0.0000
2010.5137    247799.11399    0.00514         12.6144    0.0000
2010.5164    247799.11175    0.00427         10.6105    0.0000
2010.5192    247799.11191    0.00462         11.3626    0.0000
2010.5219    247799.11011    0.00455         11.2749    0.0000
2010.5247    247799.11174    0.00537         13.5903    0.0000
2010.5274    247799.10968    0.00429         10.7385    0.0000
2010.5301    247799.11014    0.00467         11.2407    0.0000
2010.5329    247799.11066    0.00461         11.2478    0.0000
2010.5356    247799.11286    0.00559         13.4265    0.0000
2010.5384    247799.11728    0.00558         13.9808    0.0000
2010.5411    247799.11017    0.00482         11.6457    0.0000
2010.5438    247799.11233    0.00419         10.3767    0.0000
2010.5466    247799.11340    0.00524         13.2511    0.0000
2010.5493    247799.11242    0.00536         13.7816    0.0000
2010.5521    247799.11126    0.00490         12.1414    0.0000
2010.5548    247799.11506    0.00438         10.9641    0.0000
2010.5575    247799.11299    0.00541         13.9557    0.0000
2010.5603    247799.11314    0.00586         14.8812    0.0000
2010.5630    247799.11333    0.00479         11.3963    0.0000
2010.5658    247799.11621    0.00483         11.7026    0.0000
2010.5685    247799.11176    0.00472         11.8083    0.0000
2010.5712    247799.11185    0.00507         12.2853    0.0000
2010.5740    247799.11336    0.00656         16.7338    0.0000
2010.5767    247799.11189    0.00759         19.9579    0.0000
2010.5795    247799.11111    0.00648         16.6689    0.0000
2010.5822    247799.11352    0.00623         14.7050    0.0000
2010.5849    247799.11326    0.00640         16.3430    0.0000
2010.5877    247799.11112    0.00602         15.0278    0.0000
2010.5904    247799.10875    0.00701         17.7294    0.0000
2010.5931    247799.11334    0.00495         11.8460    0.0000
2010.5959    247799.11253    0.00550         13.1605    0.0000
2010.5986    247799.11313    0.00565         14.1573    0.0000
2010.6014    247799.11253    0.00555         13.5060    0.0000
2010.6041    247799.11520    0.00610         15.4662    0.0000
2010.6068    247799.11347    0.00696         17.5889    0.0000
2010.6096    247799.11184    0.00595         14.9105    0.0000
2010.6123    247799.11757    0.00608         14.9520    0.0000
2010.6151    247799.11399    0.00601         14.7047    0.0000
2010.6178    247799.11022    0.00447         10.5236    0.0000
2010.6205    247799.11329    0.00513         12.6864    0.0000
2010.6233    247799.11109    0.00485         11.7122    0.0000
2010.6260    247799.11244    0.00466         11.2154    0.0000
2010.6288    247799.10861    0.00465         11.3808    0.0000
2010.6836    247799.11335    0.00529         13.5947    0.0000
2010.6863    247799.11288    0.00427         10.1860    0.0000
2010.6890    247799.11167    0.00469         11.7598    0.0000
2010.6918    247799.11131    0.00492         12.2900    0.0000
2010.6945    247799.10973    0.00522         13.5499    0.0000
2010.6973    247799.11113    0.00514         13.0913    0.0000
2010.7000    247799.11068    0.00469         11.5702    0.0000
2010.7027    247799.10985    0.00521         13.0485    0.0000
2010.7055    247799.11184    0.00464         11.2237    0.0000
2010.7082    247799.11100    0.00580         14.8413    0.0000
2010.7110    247799.11169    0.00587         14.5677    0.0000
2010.7137    247799.10985    0.00540         13.1451    0.0000
2010.7164    247799.11077    0.00497         12.5499    0.0000
2010.7192    247799.10937    0.00639         16.0490    0.0000
