# Time(a)    BL_length(m)   Sig_bl(m)         Up(mm)  Sig_u(mm)
2010.4973    163961.21987    0.00886         18.7438    0.0000
2010.5000    163961.22185    0.00854         17.9588    0.0000
2010.5027    163961.22477    0.00921         19.3296    0.0000
2010.5055    163961.22036    0.00906         19.1867    0.0000
2010.5082    163961.21823    0.00866         18.2377    0.0000
2010.5110    163961.22069    0.00844         17.8255    0.0000
2010.5137    163961.21814    0.00846         17.9342    0.0000
2010.5164    163961.21915    0.00823         17.5718    0.0000
2010.5192    163961.22127    0.00829         17.7565    0.0000
2010.5219    163961.21910    0.00868         18.6102    0.0000
2010.5247    163961.21869    0.00849         18.0712    0.0000
2010.5274    163961.21925    0.00883         18.5469    0.0000
2010.5301    163961.22050    0.00882         18.6465    0.0000
2010.5329    163961.22461    0.00929         19.4655    0.0000
2010.5356    163961.22025    0.00868         18.1155    0.0000
2010.5384    163961.22276    0.00962         20.2015    0.0000
2010.5411    163961.21889    0.00933         19.4541    0.0000
2010.5438    163961.21908    0.00856         18.3455    0.0000
2010.5466    163961.21954    0.00868         18.4806    0.0000
2010.5493    163961.22018    0.00823         17.3287    0.0000
2010.5521    163961.22149    0.00904         19.3715    0.0000
2010.5548    163961.21792    0.00934         19.9742    0.0000
2010.5575    163961.21928    0.00913         19.7135    0.0000
2010.5603    163961.22180    0.00890         18.8413    0.0000
2010.5630    163961.21831    0.01013         21.3852    0.0000
2010.5658    163961.21833    0.00814         17.2803    0.0000
2010.5685    163961.21843    0.00894         18.9448    0.0000
2010.5712    163961.21899    0.00979         20.9056    0.0000
2010.5740    163961.21711    0.00956         20.3840    0.0000
2010.5767    163961.21930    0.00975         20.6348    0.0000
2010.5795    163961.21917    0.00965         20.5617    0.0000
2010.5822    163961.22104    0.01002         20.3874    0.0000
2010.5849    163961.22293    0.00896         19.0524    0.0000
2010.5877    163961.21903    0.00918         19.4298    0.0000
2010.5904    163961.22201    0.00926         19.3212    0.0000
2010.5931    163961.21461    0.01019         21.7638    0.0000
2010.5959    163961.21831    0.00932         19.7054    0.0000
2010.5986    163961.21922    0.00961         20.2780    0.0000
2010.6014    163961.21989    0.01001         21.3129    0.0000
2010.6041    163961.21559    0.01051         22.2863    0.0000
2010.6068    163961.22595    0.00977         20.8860    0.0000
2010.6096    163961.21992    0.01043         22.2946    0.0000
2010.6123    163961.22021    0.00978         20.8045    0.0000
2010.6151    163961.22100    0.00956         20.1967    0.0000
2010.6178    163961.21983    0.01098         23.1896    0.0000
